Name,Type,City,County,State,FAA Region,Site No.,Control Tower,Facility Use,Owner Type,Latitude,Longitude
REDSTONE AAF,AIRPORT,REDSTONE ARSNL HUNTSVILLE,MADISON,AL,ASO,00492.5*A,Y,PR,MR,34.6786547222,-86.6847825000
"USAR CENTER, CLEMSON",HELIPORT,CLEMSON,OCONEE,SC,ASO,22200.1*H,N,PR,PU,34.6834388889,-82.8179200000
CHESTER RGNL MEDICAL CENTER,HELIPORT,CHESTER,CHESTER,SC,ASO,22190.01*H,N,PR,PR,34.6834730556,-81.1839772222
COYOTE RUN,GLIDERPORT,COYOTE SPRINGS,YAVAPAI,AZ,AWP,00665.2*G,N,PR,PR,34.6841666667,-112.2916666667
E M M D PLANT,HELIPORT,UNION,UNION,SC,ASO,22555.01*H,N,PR,PR,34.6848552778,-81.7334350000
TUNICA MUNI,AIRPORT,TUNICA,TUNICA,MS,ASO,11458.2*A,N,PU,PU,34.6850555556,-90.3477777778
"UNION COUNTY, TROY SHELTON FIELD",AIRPORT,UNION,UNION,SC,ASO,22555.*A,N,PU,PU,34.6869527778,-81.6411666667
HUNTSVILLE FIELD,HELIPORT,HUNTSVILLE,MADISON,AL,ASO,00385.*H,N,PR,PU,34.6884241667,-86.5888813889
BARWICK LAFAYETTE,AIRPORT,LAFAYETTE,WALKER,GA,ASO,03860.*A,N,PU,PU,34.6884791667,-85.2903319444
SCOTTSBORO MUNI-WORD FIELD,AIRPORT,SCOTTSBORO,JACKSON,AL,ASO,00509.1*A,N,PU,PU,34.6887111111,-86.0059250000
BOGUE FIELD MCALF,AIRPORT,SWANSBORO,CARTERET,NC,ASO,17147.5*A,Y,PR,MN,34.6905000000,-77.0296666667
BIG RIVER AIRPARK,AIRPORT,MUSCLE SHOALS,COLBERT,AL,ASO,00455.1*A,N,PR,PR,34.6911111111,-87.6527777778
MASSEY FARM,AIRPORT,YUCCA,MOHAVE,AZ,AWP,00840.41*A,N,PR,PR,34.6914277778,-114.0977388889
SCOTTYS FIELD,AIRPORT,ALTUS,JACKSON,OK,ASW,18779.1*A,N,PR,PR,34.6917341667,-99.3448086111
PAULS VALLEY STATE SCHOOL,HELIPORT,PAULS VALLEY,GARVIN,OK,ASW,19148.01*H,N,PR,PU,34.6917486111,-97.2114111111
BOHUNK'S AIRPARK,AIRPORT,LANCASTER,LOS ANGELES,CA,AWP,01754.*A,N,PR,PR,34.6947066667,-118.2831319444
HIGH VALLEY AIRPARK,AIRPORT,SUCHES,UNION,GA,ASO,04025.*A,N,PR,PR,34.6981455556,-84.0126911111
ALTUS/QUARTZ MOUNTAIN RGNL,AIRPORT,ALTUS,JACKSON,OK,ASW,18779.*A,N,PU,PU,34.6988055556,-99.3384722222
SHERIFF'S,HELIPORT,LANCASTER,LOS ANGELES,CA,AWP,01754.12*H,N,PR,PU,34.6999850000,-118.0592366667
VALLEY,AIRPORT,ADA,PONTOTOC,OK,ASW,18770.4*A,N,PR,PR,34.7050000000,-96.5766666667
STAR HILL GOLF CLUB,AIRPORT,CAPE CARTERET,CARTERET,NC,ASO,16585.4*A,N,PR,PR,34.7051616667,-77.0510583333
TALIHINA MUNI,AIRPORT,TALIHINA,LATIMER,OK,ASW,19254.*A,N,PU,PU,34.7077713889,-95.0737858333
ADAMS PLACE,HELIPORT,PRESCOTT VALLEY,YAVAPAI,AZ,AWP,00765.01*H,N,PR,PR,34.7082000000,-112.3336333333
HOLLIS MUNI,AIRPORT,HOLLIS,HARMON,OK,ASW,19025.11*A,N,PU,PU,34.7083941667,-99.9087119444
NEW RIVER MCAS /H/ /MCCUTCHEON FLD/,AIRPORT,JACKSONVILLE,ONSLOW,NC,ASO,16815.*A,Y,PR,MN,34.7084211667,-77.4396613889
PAULS VALLEY MUNI,AIRPORT,PAULS VALLEY,GARVIN,OK,ASW,19148.*A,N,PU,PU,34.7095632778,-97.2233458333
PALISADES RANCH,AIRPORT,HELENDALE,SAN BERNARDINO,CA,AWP,01652.01*A,N,PR,PR,34.7122097222,-117.3508813889
CHERAW MUNI/LYNCH BELLINGER FIELD,AIRPORT,CHERAW,CHESTERFIELD,SC,ASO,22183.*A,N,PU,PU,34.7128750000,-79.9570041667
MOREHEAD CITY STATE PORT TERMINAL,HELIPORT,MOREHEAD CITY,CARTERET,NC,ASO,16936.01*H,N,PR,MN,34.7168280556,-76.6996533333
SKY MANOR,AIRPORT,JACKSONVILLE,ONSLOW,NC,ASO,16815.11*A,N,PU,PR,34.7168322222,-77.5921930556
SKARDA/TOLLVILLE,AIRPORT,HAZEN,PRAIRIE,AR,ASW,01008.03*A,N,PR,PR,34.7175916667,-91.5390194444
HENDERSON FIELD,AIRPORT,WALLACE,PENDER,NC,ASO,17178.1*A,N,PU,PU,34.7178902778,-78.0036244444
SPRINGS MEMORIAL,HELIPORT,LANCASTER,LANCASTER,SC,ASO,22366.2*H,N,PR,PR,34.7187586111,-80.7836800000
