Name,Type,City,County,State,FAA Region,Site No.,Control Tower,Facility Use,Owner Type,Latitude,Longitude
KAALAIKI AIRSTRIP,AIRPORT,NAALEHU,HAWAII,HI,AWP,52462.2*A,N,PR,PR,19.1228244444,-155.5780502778
PAHALA AIRSTRIP,AIRPORT,PAHALA,HAWAII,HI,AWP,52500.*A,N,PR,PR,19.2161525000,-155.4686066667
UPPER PAAUAU,AIRPORT,PAHALA,HAWAII,HI,AWP,52500.1*A,N,PR,PR,19.2275400000,-155.5094394444
RAINSHED,HELIPORT,VOLCANO VILLAGE,HAWAII,HI,AWP,52584.*H,N,PR,PU,19.4330866667,-155.2597230556
MOUNTAIN VIEW AIRSTRIP,AIRPORT,MOUNTAIN VIEW,HAWAII,HI,AWP,52435.*A,N,PR,PR,19.5475261111,-155.1083383333
HILO MEDICAL CENTER,HELIPORT,HILO,HAWAII,HI,AWP,52095.01*H,N,PR,PR,19.7025169444,-155.1250083333
HILO INTL,AIRPORT,HILO,HAWAII,HI,AWP,52095.*A,Y,PU,PU,19.7202630000,-155.0484701389
KONA INTL AT KEAHOLE,AIRPORT,KAILUA/KONA,HAWAII,HI,AWP,52250.2*A,Y,PU,PU,19.7387658333,-156.0456313889
BRADSHAW ARMY AIRFIELD,AIRPORT,CAMP POHAKULOA,HAWAII,HI,AWP,52550.1*A,Y,PR,MR,19.7600133889,-155.5537661944
KAUPULEHU,HELIPORT,KAILUA/KONA,HAWAII,HI,AWP,52250.1*H,N,PR,PR,19.8325122222,-155.9816586111
LUCY HENRIQUES MEDICAL CENTER,HELIPORT,KAMUELA,HAWAII,HI,AWP,52276.1*H,N,PR,PR,19.8658386111,-155.6472233333
WAIKOLOA,HELIPORT,WAIKOLOA VILLAGE,HAWAII,HI,AWP,52589.1*H,N,PR,PR,19.9136163889,-155.8638838889
WAIMEA-KOHALA,AIRPORT,KAMUELA,HAWAII,HI,AWP,52276.*A,N,PU,PU,20.0013269444,-155.6681072222
UPPER PAAUILO AIRSTRIP,AIRPORT,PAAUILO,HAWAII,HI,AWP,52499.*A,N,PR,PR,20.0283283333,-155.3880569444
HONOKAA AIRSTRIP,AIRPORT,HONOKAA,HAWAII,HI,AWP,52149.*A,N,PR,PR,20.0836033333,-155.5022222222
UPOLU,AIRPORT,HAWI,HAWAII,HI,AWP,52090.*A,N,PU,PU,20.2651944444,-155.8599444444
LANAI,AIRPORT,LANAI CITY,MAUI,HI,AWP,52402.*A,N,PU,PU,20.7856111111,-156.9514180556
HANA,AIRPORT,HANA,MAUI,HI,AWP,52061.*A,N,PU,PU,20.7956371667,-156.0144378889
KAHULUI,AIRPORT,KAHULUI,MAUI,HI,AWP,52240.*A,Y,PU,PU,20.8986497222,-156.4304578611
HYATT REGENCY MAUI HOTEL,HELIPORT,LAHAINA,MAUI,HI,AWP,52390.1*H,N,PR,PR,20.9118272222,-156.6927383333
KAPALUA,AIRPORT,LAHAINA,MAUI,HI,AWP,52390.*A,N,PR,PU,20.9629363889,-156.6730316667
KAWELA FARM,HELIPORT,KAUNAKAKAI,MAUI,HI,AWP,52294.02*H,N,PR,PR,21.0827777778,-156.9736111111
BRANDT FIELD,AIRPORT,KAUNAKAKAI,MAUI,HI,AWP,52294.03*A,N,PR,PR,21.1370000000,-156.7344444444
PANDA,AIRPORT,KAUNAKAKAI,MAUI,HI,AWP,52294.01*A,N,PR,PR,21.1479316667,-157.2585725000
MOLOKAI,AIRPORT,KAUNAKAKAI,MAUI,HI,AWP,52294.*A,Y,PU,PU,21.1528858333,-157.0962561111
KALAUPAPA,AIRPORT,KALAUPAPA,KALAWAO,HI,AWP,52271.*A,N,PU,PU,21.2110402778,-156.9735972222
KALAELOA (JOHN RODGERS FIELD),AIRPORT,KAPOLEI,HONOLULU,HI,AWP,52282.*A,Y,PU,PU,21.3073538889,-158.0703016667
THE QUEEN'S MEDICAL CENTER,HELIPORT,HONOLULU,HONOLULU,HI,AWP,52161.41*H,N,PR,PR,21.3091686111,-157.8529797222
KUAKINI MEDICAL CENTER,HELIPORT,HONOLULU,HONOLULU,HI,AWP,52161.2*H,N,PR,PR,21.3135016667,-157.8472569444
HONOLULU INTL,AIRPORT,HONOLULU,HONOLULU,HI,AWP,52161.*A,Y,PU,PU,21.3186812778,-157.9224286667
K3 HELIPAD,HELIPORT,PEARL HARBOR,HONOLULU,HI,AWP,52514.*H,N,PR,MN,21.3620277778,-157.9507222222
MOANALUA MEDICAL CENTER,HELIPORT,HONOLULU,HONOLULU,HI,AWP,52161.42*H,N,PR,PR,21.3640555556,-157.8991988889
HECO-WAIAU,HELIPORT,HONOLULU,HONOLULU,HI,AWP,52161.1*H,N,PR,PR,21.3908333333,-157.9647222222
KANEOHE BAY MCAS (MARION E. CARL FIELD),AIRPORT,KANEOHE,HONOLULU,HI,AWP,52278.*A,Y,PR,MN,21.4504533333,-157.7680000000
WHEELER AAF,AIRPORT,WAHIAWA,HONOLULU,HI,AWP,52587.*A,Y,PR,MR,21.4847222222,-158.0397222222
KUALOA RANCH,HELIPORT,HONOLULU,HONOLULU,HI,AWP,52161.43*H,N,PR,PR,21.5218233333,-157.8389188889
KAENA POINT SATELLITE TRACKING STATION,HELIPORT,WAIANAE,HONOLULU,HI,AWP,52588.*H,N,PR,MA,21.5621222222,-158.2412888889
TAILWINDS,AIRPORT,JUPITER,MARTIN,FL,ASO,03258.75*A,N,PR,PR,26.9795000000,-80.2186566667
DILLINGHAM AIRFIELD,AIRPORT,MOKULEIA,HONOLULU,HI,AWP,52430.*A,N,PU,MR,21.5794736111,-158.1972813889
KAHUKU FIRE & POLICE STATION,HELIPORT,KAHUKU,HONOLULU,HI,AWP,52238.*H,N,PR,PU,21.6751513889,-157.9469694444
KAHUKU HOSPITAL,HELIPORT,KAHUKU,HONOLULU,HI,AWP,52238.01*H,N,PR,PR,21.6762627778,-157.9539141667
TURTLE BAY RESORT,HELIPORT,KAHUKU,HAWAII,HI,AWP,52238.02*H,N,PR,PR,21.7048700000,-158.0055791667
PORT ALLEN,AIRPORT,HANAPEPE,KAUAI,HI,AWP,52080.*A,N,PU,PU,21.8969444444,-159.6031666667
HAIKU AIRSTRIP,AIRPORT,PUHI,KAUAI,HI,AWP,52560.*A,N,PR,PR,21.9424213889,-159.4402605556
HI 23 AIRSTRIP,AIRPORT,PUHI,KAUAI,HI,AWP,52560.01*A,N,PR,PR,21.9657525000,-159.4272038889
LIHUE,AIRPORT,LIHUE,KAUAI,HI,AWP,52420.*A,Y,PU,PU,21.9759830278,-159.3389579722
BARKING SANDS PMRF,AIRPORT,"KEKAHA,KAUAI",KAUAI,HI,AWP,52302.1*A,Y,PR,MN,22.0227744444,-159.7850588889
HANAMAULU AIRSTRIP,AIRPORT,HANAMAULU,KAUAI,HI,AWP,52068.*A,N,PR,PR,22.0412783333,-159.3897027778
KALALAU BEACH,HELIPORT,HAENA,KAUAI,HI,AWP,52040.*H,N,PR,PU,22.1745966667,-159.6555350000
PRINCEVILLE,AIRPORT,HANALEI,KAUAI,HI,AWP,52066.3*A,N,PR,PR,22.2091900000,-159.4455338889
KEY WEST INTL,AIRPORT,KEY WEST,MONROE,FL,ASO,03263.*A,Y,PU,PU,24.5561111111,-81.7595555556
KEY WEST NAS /BOCA CHICA FIELD/,AIRPORT,KEY WEST,MONROE,FL,ASO,03264.*A,Y,PR,MN,24.5757013889,-81.6888333333
FLORIDA KEYS MEMORIAL HOSPITAL,HELIPORT,KEY WEST,MONROE,FL,ASO,03262.21*H,N,PR,PR,24.5837566667,-81.7442569444
SUGAR LOAF SHORES,AIRPORT,KEY WEST,MONROE,FL,ASO,03263.2*A,N,PR,PR,24.6487544444,-81.5798083333
SUMMERLAND KEY COVE,AIRPORT,SUMMERLAND KEY,MONROE,FL,ASO,03507.5*A,N,PR,PR,24.6587544444,-81.4414713889
FISHERMEN'S HOSPITAL EMERGENCY HELISTOP,HELIPORT,MARATHON,MONROE,FL,ASO,03314.03*H,N,PR,PR,24.7104191667,-81.0945177778
THE FLORIDA KEYS MARATHON,AIRPORT,MARATHON,MONROE,FL,ASO,03314.*A,N,PU,PU,24.7261944444,-81.0513611111
ADVENTURE ISLAND,HELIPORT,MARATHON,MONROE,FL,ASO,03314.02*H,N,PR,PR,24.7343069444,-81.0186827778
HOLIDAY ISLE,SEAPLANE BASE,ISLAMORADA,MONROE,FL,ASO,03249.5*C,N,PR,PR,24.9348544444,-80.6008952778
PLANTATION KEY,SEAPLANE BASE,MARATHON,MONROE,FL,ASO,03314.04*C,N,PR,PR,24.9712419444,-80.5956177778
MARINERS HOSPITAL,HELIPORT,TAVERNIER,MONROE,FL,ASO,03526.01*H,N,PR,PR,25.0045555556,-80.5247805556
TAVERNAERO PARK,AIRPORT,TAVERNIER,MONROE,FL,ASO,03526.*A,N,PR,PR,25.0087408333,-80.5331166667
OCEAN REEF CLUB,AIRPORT,KEY LARGO,MONROE,FL,ASO,03260.8*A,N,PR,PR,25.3253930556,-80.2747747222
MOTORSPORTS COMPLEX VIP,HELIPORT,HOMESTEAD,DADE,FL,ASO,03242.24*H,N,PR,PU,25.4486111111,-80.4100000000
MOTORSPORTS COMPLEX EMS,HELIPORT,HOMESTEAD,DADE,FL,ASO,03242.25*H,N,PR,PU,25.4536111111,-80.4113888889
HOMESTEAD ARB,AIRPORT,HOMESTEAD,DADE,FL,ASO,03242.*A,Y,PR,MA,25.4885500000,-80.3835666667
HOMESTEAD GENERAL AVIATION,AIRPORT,HOMESTEAD,DADE,FL,ASO,03242.1*A,N,PU,PU,25.4992306389,-80.5542445000
THE WRIGHT PLACE,AIRPORT,HOMESTEAD,DADE,FL,ASO,03242.26*A,N,PR,PR,25.5152527778,-80.5135000000
MAC'S FIELD,AIRPORT,HOMESTEAD,DADE,FL,ASO,03242.3*A,N,PR,PR,25.5464972222,-80.4656116667
MJD,AIRPORT,MIAMI,DADE,FL,ASO,03324.*A,N,PR,PR,25.5545527778,-80.5539472222
RICHARDS FIELD,AIRPORT,HOMESTEAD,DADE,FL,ASO,03242.8*A,N,PR,PR,25.5587191667,-80.5150572222
SOUTH DADE COMMUNITY HEALTH CENTER,HELIPORT,HOMESTEAD,DADE,FL,ASO,03242.23*H,N,PR,PU,25.5659402778,-80.3506088889
BURRS STRIP,AIRPORT,MIAMI,DADE,FL,ASO,03326.1*A,N,PR,PR,25.5701069444,-80.3997766667
B & L FARMS,AIRPORT,HOMESTEAD,DADE,FL,ASO,03243.2*A,N,PR,PR,25.5837180556,-80.4997791667
LINDBERGH'S LANDING,AIRPORT,MIAMI,DADE,FL,ASO,03325.15*A,N,PR,PR,25.6195277778,-80.4886666667
KENDALL-TAMIAMI EXECUTIVE,AIRPORT,MIAMI,DADE,FL,ASO,03325.1*A,Y,PU,PU,25.6478888889,-80.4327777778
BAPTIST HOSPITAL,HELIPORT,MIAMI,DADE,FL,ASO,03324.3*H,N,PR,PR,25.6670475000,-80.3331080556
KENDALL DISTRICT STATION,HELIPORT,MIAMI,DADE,FL,ASO,03326.16*H,N,PR,PU,25.6956580556,-80.3814425000
SOUTH BIMINI,AIRPORT,NORTH BIMINI,BAHAMAS,BS,,90733.*A,N,PU,PU,25.6999777778,-79.2651361111
MIAMI CHILDRENS HOSPITAL,HELIPORT,MIAMI,DADE,FL,ASO,03324.4*H,N,PR,PR,25.7458333333,-80.2947222222
FISHER ISLAND,HELIPORT,MIAMI,DADE,FL,ASO,03324.32*H,N,PR,PR,25.7641666667,-80.1386569444
FLORIDA POWER & LIGHT CO,HELIPORT,MIAMI,DADE,FL,ASO,03324.51*H,N,PR,PR,25.7670441667,-80.3497744444
MIAMI,SEAPLANE BASE,MIAMI,DADE,FL,ASO,03324.1*C,N,PU,PU,25.7783333333,-80.1702777778
DISTRICT VI,HELIPORT,MIAMI,DADE,FL,ASO,03324.33*H,N,PR,PR,25.7819805556,-80.3775222222
JACKSON MEMORIAL HOSPITAL,HELIPORT,MIAMI,DADE,FL,ASO,03330.3*H,N,PR,PU,25.7928750000,-80.2047694444
MIAMI INTL,AIRPORT,MIAMI,DADE,FL,ASO,03333.*A,Y,PU,PU,25.7953611111,-80.2901111111
MIAMI FEDERAL RESERVE BANK,HELIPORT,MIAMI,DADE,FL,ASO,03324.9*H,N,PR,PR,25.8075980556,-80.3419963889
DORAL RESORT & COUNTRY CLUB,HELIPORT,MIAMI,DADE,FL,ASO,03330.2*H,N,PR,PR,25.8128758333,-80.3389408333
MOUNT SINAI MEDICAL CENTER,HELIPORT,MIAMI BEACH,DADE,FL,ASO,03339.51*H,N,PR,PR,25.8144861111,-80.1412111111
OCEAN BEACH RESORT,HELIPORT,MIAMI BEACH,DADE,FL,ASO,03339.52*H,N,PR,PR,25.8256525000,-80.1211561111
DADE COUNTY MOSQUITO CONTROL,HELIPORT,MEDLEY,DADE,FL,ASO,03320.4*H,N,PR,PU,25.8273197222,-80.3422741667
KELLY TRACTOR CO,HELIPORT,MIAMI,DADE,FL,ASO,03326.15*H,N,PR,PR,25.8273197222,-80.3336627778
EVERGLADES AIRPARK,AIRPORT,EVERGLADES,COLLIER,FL,ASO,03182.*A,N,PU,PU,25.8488611111,-81.3902777778
WSVN TELEVISION CHANNEL 7,HELIPORT,MIAMI,DADE,FL,ASO,03324.6*H,N,PR,PR,25.8503738889,-80.1544905556
CENTRAL DISTRICT POLICE STATION,HELIPORT,HIALEAH,DADE,FL,ASO,03228.5*H,N,PR,PU,25.8531516667,-80.2469936111
OASIS RANGER STATION-U.S. GOVERNMENT,AIRPORT,EVERGLADES CITY,COLLIER,FL,ASO,03182.1*A,N,PR,PU,25.8573208333,-81.0345147222
DADE-COLLIER TRAINING AND TRANSITION,AIRPORT,MIAMI,DADE,FL,ASO,03326.*A,N,PU,PU,25.8618055556,-80.8970000000
PALMETTO GENERAL HOSPITAL,HELIPORT,HIALEAH,DADE,FL,ASO,03228.49*H,N,PR,PR,25.8856508333,-80.3264400000
BROWNSVILLE/SOUTH PADRE ISLAND INTL,AIRPORT,BROWNSVILLE,CAMERON,TX,ASW,23499.*A,Y,PU,PU,25.9068333333,-97.4258333333
OPA- LOCKA EXECUTIVE,AIRPORT,MIAMI,DADE,FL,ASO,03339.*A,Y,PU,PU,25.9074166667,-80.2782222222
INTRA COASTAL POLICE SUB-STATION,HELIPORT,NORTH MIAMI BEACH,DADE,FL,ASO,03389.13*H,N,PR,PU,25.9170380556,-80.1497680556
CAPELETTI,HELIPORT,HIALEAH,DADE,FL,ASO,03228.48*H,N,PR,PR,25.9253716667,-80.2997725000
RESACA AIRSTRIP,AIRPORT,BROWNSVILLE,CAMERON,TX,ASW,23499.01*A,N,PR,PR,25.9267469444,-97.4085913889
DOLPHIN STADIUM,HELIPORT,MIAMI,DADE,FL,ASO,03324.52*H,N,PR,PR,25.9598144444,-80.2369927778
AVENTURA,HELIPORT,NORTH MIAMI BEACH,DADE,FL,ASO,03388.94*H,N,PR,PR,25.9609252778,-80.1392119444
LOST HORN RANCH,AIRPORT,OCHOPEE,COLLIER,FL,ASO,03394.431*A,N,PR,PR,25.9681500000,-81.0814597222
COLUMBIA VALLEY RGNL,HELIPORT,BROWNSVILLE,CAMERON,TX,ASW,23500.*H,N,PR,PR,25.9775000000,-97.5158333333
ROMOR RANCH,AIRPORT,OCHOPEE,COLLIER,FL,ASO,03394.45*A,N,PR,PR,25.9809272222,-81.0567366667
NBC 6 (WTVJ),HELIPORT,MIRAMAR,BROWARD,FL,ASO,03356.*H,N,PR,PR,25.9863888889,-80.3538888889
MARCO ISLAND,AIRPORT,MARCO ISLAND,COLLIER,FL,ASO,03315.44*A,N,PU,PU,25.9950277778,-81.6725277778
NORTH PERRY,AIRPORT,HOLLYWOOD,BROWARD,FL,ASO,03236.*A,Y,PU,PU,26.0012222222,-80.2407222222
MEMORIAL HOSPITAL WEST HELISTOP,HELIPORT,PEMBROKE PINES,BROWARD,FL,ASO,03432.7*H,N,PR,PR,26.0142572222,-80.3114391667
MEMORIAL RGNL HOSPITAL,HELIPORT,HOLLYWOOD,BROWARD,FL,ASO,03236.02*H,N,PR,PR,26.0184233333,-80.1811575000
LITTLE DEER,AIRPORT,OCHOPEE,COLLIER,FL,ASO,03394.44*A,N,PR,PR,26.0309252778,-81.0386802778
MAC-IVOR & FRIENDS AIRSTRIP,AIRPORT,HOLLYWOOD,BROWARD,FL,ASO,03236.01*A,N,PR,PR,26.0448116667,-80.3733852778
CALUSA RANCH,AIRPORT,MILES CITY,COLLIER,FL,ASO,03349.1*A,N,PR,PR,26.0545355556,-81.0678477778
SOUTH PADRE ISLAND,HELIPORT,SOUTH PADRE ISLAND,CAMERON,TX,ASW,24828.01*H,N,PR,PU,26.0705555556,-97.1571527778
U S COAST GUARD STATION,HELIPORT,PORT ISABEL,CAMERON,TX,ASW,24537.01*H,N,PR,PU,26.0723002778,-97.1635825000
FORT LAUDERDALE/HOLLYWOOD INTL,AIRPORT,FORT LAUDERDALE,BROWARD,FL,ASO,03192.*A,Y,PU,PU,26.0725833333,-80.1527500000
GRANDE OAKS GOLF CLUB,HELIPORT,DAVIE,BROWARD,FL,ASO,03145.*H,N,PR,PR,26.0798111111,-80.2547694444
PROGRESO,AIRPORT,PROGRESO,HIDALGO,TX,ASW,24573.1*A,N,PR,PR,26.0836880556,-97.9502794444
CLEVELAND CLINIC FLORIDA HOSPITAL,HELIPORT,WESTON,BROWARD,FL,ASO,03553.4*H,N,PR,PR,26.0888888889,-80.3658333333
PORT EVERGLADES,HELIPORT,FORT LAUDERDALE,BROWARD,FL,ASO,03192.1*H,N,PR,PR,26.0961980556,-80.1136552778
PHYSICIANS RGNL MED CTR-COLLIER BLVD,HELIPORT,NAPLES,COLLIER,FL,ASO,03379.03*H,N,PR,PR,26.1019666667,-81.7357666667
BROWARD GENERAL MEDICAL CENTER,HELIPORT,FORT LAUDERDALE,BROWARD,FL,ASO,03192.11*H,N,PR,PU,26.1039755556,-80.1414341667
WING SOUTH AIRPARK,AIRPORT,NAPLES,COLLIER,FL,ASO,03378.21*A,N,PR,PR,26.1167583333,-81.7031413889
LOS OLAS CENTER,HELIPORT,FORT LAUDERDALE,BROWARD,FL,ASO,03194.2*H,N,PR,PR,26.1186972222,-80.1386555556
DOWNTOWN FORT LAUDERDALE,HELIPORT,FORT LAUDERDALE,BROWARD,FL,ASO,03193.*H,N,PU,PU,26.1204644444,-80.1420548611
DRENNAN FARM,AIRPORT,LOS FRESNOS,CAMERON,TX,ASW,24241.11*A,N,PR,PR,26.1211872222,-97.4280375000
CITY OF FORT LAUDERDALE,HELIPORT,FORT LAUDERDALE,BROWARD,FL,ASO,03192.13*H,N,PR,PU,26.1239750000,-80.1442116667
BSO PUBLIC SAFETY HELISTOP,HELIPORT,FORT LAUDERDALE,BROWARD,FL,ASO,03192.01*H,N,PR,PU,26.1245305556,-80.1792130556
THUNDERBIRD,HELIPORT,FORT LAUDERDALE,BROWARD,FL,ASO,03193.12*H,N,PR,PR,26.1370300000,-80.1908800000
SOUTHEASTERN HELICOPTERS,HELIPORT,SOUTH PADRE ISLAND,CAMERON,TX,ASW,24828.*H,N,PR,PR,26.1470211111,-97.1738608333
KORNEGAY PRIVATE,AIRPORT,SAN BENITO,CAMERON,TX,ASW,24716.1*A,N,PR,PR,26.1502777778,-97.5933333333
FLYING 'K' RANCH,ULTRALIGHT,MERCEDES,HIDALGO,TX,ASW,24344.*U,N,PR,PR,26.1503533333,-97.8836097222
NAPLES COMMUNITY HOSPITAL,HELIPORT,NAPLES,COLLIER,FL,ASO,03379.01*H,N,PR,PR,26.1514797222,-81.7970325000
NAPLES MUNI,AIRPORT,NAPLES,COLLIER,FL,ASO,03379.*A,Y,PU,PU,26.1522777778,-81.7758055556
KNAPP MEDICAL CENTER,HELIPORT,WESLACO,HIDALGO,TX,ASW,25001.1*H,N,PR,PR,26.1524722222,-97.9788055556
MID-VALLEY DUSTERS INC,AIRPORT,ALAMO,HIDALGO,TX,ASW,23295.2*A,N,PR,PR,26.1531308333,-98.1350083333
BROWARD COUNTY CIVIC ARENA,HELIPORT,SUNRISE,BROWARD,FL,ASO,03507.8*H,N,PR,PR,26.1594444444,-80.3255555556
PORT ISABEL-CAMERON COUNTY,AIRPORT,PORT ISABEL,CAMERON,TX,ASW,24537.*A,N,PU,PU,26.1661944444,-97.3458888889
SOUTH TEXAS EMERGENCY CARE FOUNDATION INC,HELIPORT,HARLINGEN,CAMERON,TX,ASW,24012.02*H,N,PR,PR,26.1680555556,-97.6525000000
SHOFNER FARMS,AIRPORT,HARLINGEN,CAMERON,TX,ASW,24012.1*A,N,PR,PR,26.1684088889,-97.7336038889
VALLEY BAPTIST MEDICAL CENTER,HELIPORT,HARLINGEN,CAMERON,TX,ASW,24012.03*H,N,PR,PR,26.1691666667,-97.6666666667
OLD REB,AIRPORT,MERCEDES,HIDALGO,TX,ASW,24344.1*A,N,PR,PR,26.1753527778,-97.8752761111
VALLEY BAPTIST MEDICAL CENTER (VBMC),HELIPORT,HARLINGEN,CAMERON,TX,ASW,24012.01*H,N,PR,PR,26.1753527778,-97.6705461111
MC ALLEN MILLER INTL,AIRPORT,MC ALLEN,HIDALGO,TX,ASW,24260.*A,Y,PU,PU,26.1758333333,-98.2386111111
MID VALLEY,AIRPORT,WESLACO,HIDALGO,TX,ASW,25001.*A,N,PU,PU,26.1776388889,-97.9730555556
FORT LAUDERDALE EXECUTIVE,AIRPORT,FORT LAUDERDALE,BROWARD,FL,ASO,03194.*A,Y,PU,PU,26.1972793611,-80.1707062778
MOORE AIRPARK,AIRPORT,PALMVIEW,HIDALGO,TX,ASW,24466.61*A,N,PR,PR,26.2125000000,-98.4080555556
VALLEY INTL,AIRPORT,HARLINGEN,CAMERON,TX,ASW,24012.*A,Y,PU,PU,26.2271111111,-97.6551388889
TEXAS AIR MUSEUM,AIRPORT,RIO HONDO,CAMERON,TX,ASW,24616.3*A,N,PR,PR,26.2286847222,-97.5608200000
PALMVIEW POLICE DEPT,HELIPORT,PALMVIEW,HIDALGO,TX,ASW,24466.6*H,N,PR,PR,26.2394527778,-98.3707222222
POMPANO BEACH AIRPARK,AIRPORT,POMPANO BEACH,BROWARD,FL,ASO,03451.*A,Y,PU,PU,26.2471388889,-80.1110555556
FARM SERVICES INC,AIRPORT,RIO HONDO,CAMERON,TX,ASW,24616.31*A,N,PR,PR,26.2489622222,-97.5649866667
RANCHO BUENA VISTA,AIRPORT,BAY VIEW,CAMERON,TX,ASW,23413.*A,N,PR,PR,26.2511852778,-97.3008100000
N BROWARD MEDICAL CENTER,HELIPORT,POMPANO BEACH,BROWARD,FL,ASO,03451.2*H,N,PR,PU,26.2784136111,-80.1219886111
SKALITSKY,AIRPORT,EDCOUCH,HIDALGO,TX,ASW,23799.2*A,N,PR,PR,26.2903494444,-97.9494458333
CANNON AVIATION,AIRPORT,EDCOUCH,HIDALGO,TX,ASW,23799.1*A,N,PR,PR,26.3086822222,-97.9544461111
HENDRY CORRECTIONAL INSTITUTION,AIRPORT,SUNNILAND,HENDRY,FL,ASO,03507.6*A,N,PR,PU,26.3098038889,-81.2272952778
BIG CYPRESS AIRFIELD,AIRPORT,IMMOKALEE,HENDRY,FL,ASO,03245.02*A,N,PR,PR,26.3202777778,-80.9877777778
WEST BOCA MEDICAL CENTER,HELIPORT,BOCA RATON,PALM BEACH,FL,ASO,03060.05*H,N,PR,PR,26.3555555556,-80.2002777778
NORMAN & WHITE,AIRPORT,EDINBURG,HIDALGO,TX,ASW,23805.2*A,N,PR,PR,26.3614577778,-98.1525094444
BOCA RATON,AIRPORT,BOCA RATON,PALM BEACH,FL,ASO,03060.*A,Y,PU,PU,26.3785000000,-80.1076944444
SOUTHERN RANCH,AIRPORT,CLEWISTON,HENDRY,FL,ASO,03117.21*A,N,PR,PR,26.3795230556,-80.9456211111
MOORE FIELD,AIRPORT,MISSION,HIDALGO,TX,ASW,24372.*A,N,PR,PU,26.3836786111,-98.3336266667
MC DANIEL RANCH INC.,AIRPORT,CLEWISTON,HENDRY,FL,ASO,03117.24*A,N,PR,PR,26.3938888889,-81.0230555556
A I M,HELIPORT,BOCA RATON,PALM BEACH,FL,ASO,03060.03*H,N,PR,PR,26.4156308333,-80.1914347222
TGP 409,HELIPORT,EDINBURG,HIDALGO,TX,ASW,23804.1*H,N,PR,PR,26.4167338889,-98.1369533333
RIO GRANDE CITY MUNI,AIRPORT,RIO GRANDE CITY,STARR,TX,ASW,24612.1*A,N,PU,PU,26.4242833333,-98.8460805556
HARDRIVES DELTA NR 3 HELISTOP,HELIPORT,DELRAY BEACH,PALM BEACH,FL,ASO,03156.513*H,N,PR,PR,26.4328000000,-80.0935500000
IMMOKALEE RGNL,AIRPORT,IMMOKALEE,COLLIER,FL,ASO,03245.*A,N,PU,PU,26.4338208056,-81.4013773056
DELRAY COMMUNITY HOSP EMERGENCY HELISTOP,HELIPORT,DELRAY BEACH,PALM BEACH,FL,ASO,03156.512*H,N,PR,PR,26.4356300000,-80.1269883333
SOUTH TEXAS INTL AT EDINBURG,AIRPORT,EDINBURG,HIDALGO,TX,ASW,23804.*A,N,PU,PU,26.4416666667,-98.1222222222
DEVILS GARDEN STRIP,AIRPORT,LA BELLE,HENDRY,FL,ASO,03270.21*A,N,PR,PR,26.4441666667,-81.0202777778
CORKSCREW TRACE AIRPARK,AIRPORT,ESTERO,LEE,FL,ASO,03178.7*A,N,PR,PR,26.4453566667,-81.6073030556
BELL AIRFIELD,AIRPORT,RAYMONDVILLE,WILLACY,TX,ASW,24598.2*A,N,PR,PR,26.4486794444,-97.7919400000
BOWMAN'S BEACH HELISTOP,HELIPORT,SANIBEL,LEE,FL,ASO,03481.3*H,N,PR,PU,26.4625802778,-82.1567611111
ANTIQUERS AERODROME,AIRPORT,DELRAY BEACH,PALM BEACH,FL,ASO,03156.51*A,N,PR,PR,26.4653513889,-80.1497666667
T.R. FUNK INC,AIRPORT,RAYMONDVILLE,WILLACY,TX,ASW,24598.21*A,N,PR,PR,26.4789566667,-97.6872133333
PINE RIDGE HELISTOP,HELIPORT,FORT MYERS,LEE,FL,ASO,03196.4*H,N,PR,PU,26.4903563889,-81.9334219444
BETHESDA MEMORIAL HOSPITAL,HELIPORT,BOYNTON BEACH,PALM BEACH,FL,ASO,03071.02*H,N,PR,PR,26.5043333333,-80.0702777778
ST JAMES HELISTOP,HELIPORT,CAPE CORAL,LEE,FL,ASO,03096.44*H,N,PR,PU,26.5114672222,-82.0884258333
HENDERSON,HELIPORT,BOKEELIA,LEE,FL,ASO,03061.51*H,N,PR,PR,26.5186894444,-82.1517605556
CHARLTON STRIP,AIRPORT,LA BELLE,HENDRY,FL,ASO,03270.17*A,N,PR,PR,26.5230555556,-81.4083333333
SOUTHWEST FLORIDA INTL,AIRPORT,FORT MYERS,LEE,FL,ASO,03198.2*A,Y,PU,PU,26.5361666667,-81.7551666667
CAPTIVA,HELIPORT,SANIBEL,LEE,FL,ASO,03481.31*H,N,PR,PU,26.5417441667,-82.1920388889
GULF COAST MEDICAL CENTER,HELIPORT,FORT MYERS,LEE,FL,ASO,03196.22*H,N,PR,PR,26.5440555556,-81.8488055556
GULF COAST HOSPITAL,HELIPORT,FORT MYERS,LEE,FL,ASO,03196.33*H,N,PR,PR,26.5441666667,-81.8500000000
WILLIS,GLIDERPORT,BOYNTON BEACH,PALM BEACH,FL,ASO,03071.01*G,N,PR,PR,26.5481261111,-80.2147683333
GRAND BAHAMA INTL,AIRPORT,FREEPORT,BAHAMAS,BS,,90715.*A,Y,PU,PU,26.5586861111,-78.6955527778
CHARLES R JOHNSON,AIRPORT,PORT MANSFIELD,WILLACY,TX,ASW,24543.*A,N,PU,PU,26.5628433333,-97.4377588889
