Site Name,State or Territory,Branch and Status
Little Mountain Test Annex,Utah,AF Active
NAS Lemoore,California,Navy Active
NWS Seal Beach Det Concord,California,Navy Active
NB Coronado Camp Morena,California,Navy Active
NB Coronado Lofgren Terrace,California,Navy Active
San Clemente,California,Navy Active
Fairchild AFB,Washington,AF Active
Boise Air Terminal (ANG),Idaho,AF Guard
Salt Lake City IAP,Utah,AF Guard
Tucson IAP,Arizona,AF Guard
Kirtland AFB,New Mexico,AF Active
Edwards AFB,California,AF Active
Cheyenne Regional Apt,Wyoming,AF Guard
Haarp Research Station,Alaska,AF Active
Hill AFB,Utah,AF Active
UTTR - North,Utah,AF Active
Utah Test and Training Range South UT,Utah,AF Active
Great Falls IAP,Montana,AF Guard
Klamath Falls Airport-Kingsley Field (ANG),Oregon,AF Guard
Four Lakes Communications Station (ANG),Washington,AF Guard
HQBN Henderson Hall Arlington,Virginia,Army Active
Clear AB,Alaska,AF Active
Vandenberg AFB,California,AF Active
Fort MacArthur FH Annex,California,AF Active
Schriever AFB,Colorado,AF Active
Onizuka AFB,California,AF Active
Pillar Point AFS,California,AF Active
NAS Fallon,Nevada,Navy Active
Laguna Peak CA,California,Navy Active
Peterson AFB,Colorado,AF Active
Cannon AFB,New Mexico,AF Active
George AFB,California,AF Active
F E Warren AFB,Wyoming,AF Active
Birch Lake Recreation Annex,Alaska,AF Active
Chena River Research Site,Alaska,AF Active
Eielson AFB,Alaska,AF Active
Blair Lake Air Force Rangeex,Alaska,AF Active
Elmendorf AFB,Alaska,AF Active
Kaena Point Satellite Tracking Station,Hawaii,AF Active
Hickam Petroleum Products Storage Annex,Hawaii,AF Active
Galena Airport,Alaska,AF Active
Hickam AFB,Hawaii,AF Active
Kokee AFS,Hawaii,AF Active
Cold Bay Long Range Radar Site,Alaska,AF Active
Fort Yukon Long Range Radar Site,Alaska,AF Active
Cairns Basefield,Alabama,Army Active
Indian Mountain Long Range Radar Site,Alaska,AF Active
King Salmon Airport,Alaska,AF Active
Oliktok Long Range Radar Site,Alaska,AF Active
Sparrevohn Long Range Radar Site,Alaska,AF Active
Tatalina Long Range Radar Site,Alaska,AF Active
Tanguisson Point,Guam,Navy Active
MCB Quantico,Virginia,MC Active
Cape Romanzof Long Range Radar Site,Alaska,AF Active
NB San Diego,California,Navy Active
Buckley Annex,Colorado,AF Reserve
NB Coronado,California,Navy Active
Holtville Carrier LS,California,Navy Active
NAS Fallon EW Range Fac,Nevada,Navy Active
