Name,City,State,Zip Code,Plant Operator,Plant Desc.,Operating Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Planned Capacity (MW),Retired Capacity (MW),Operating Units,Planned Units,Retired Units,Fuel 1,Fuel 2,Net Gen. MWh,Capacity Factor,Sub 1,Sub 2,No. Lines,NAICS Code,NAICS Desc.,SIC Code,Source,Source Date
Allendorf,"Cloverdale, IA",IA,51249,Northern Alternative Energy,"Renewable Energy Power Plant (1.2 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.2,1.2,1.2,0,0,1,0,0,Renew,,974,9.27,Allendorf,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Endeavor Wind Farm,"Harris, IA",IA,51345,Osceola Windpower LLC,"Renewable Energy Power Plant (100 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",100,100,100,0,0,1,0,0,Renew,,234170,26.73,Endeavor Wind Farm,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Estherville,"Estherville, IA",IA,51334,Estherville IA (City of),"Gas-fired Power Plant (17.6 MW of operating capacity, 0 MW of planned capacity, and 1.8 MW of retired capacity)",17.6,15.4,15.6,0,1.8,6,0,2,Gas,Petro,46,0.03,Estherville,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Flying Cloud,"Lake Park, IA",IA,51347,Flying Cloud Power Partners LLC,"Renewable Energy Power Plant (43.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",43.5,43.5,43.5,0,0,1,0,0,Renew,,124731,32.73,Flying Cloud,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Graettinger,"Graettinger, IA",IA,51342,Graettinger Municipal Light Plant,"Petro-fired Power Plant (3.6 MW of operating capacity, 0 MW of planned capacity, and 0.6 MW of retired capacity)",3.6,3.6,3.6,0,0.6,3,0,3,Petro,,11,0.03,Graettinger,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Iowa Lakes Community College Wind,"Estherville, IA",IA,51334,Iowa Lakes Community College,"Renewable Energy Power Plant (1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1,1,1,0,0,1,0,0,Renew,,0,0,Iowa Lakes Community College Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,01/2010
Iowa Lakes Superior Wind,"Superior, IA",IA,51363,enXco Inc,"Renewable Energy Power Plant (10.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",10.5,10.5,10.5,0,0,1,0,0,Renew,,25589,27.82,Iowa Lakes Superior Wind,,0,221119,Other Electric Power Generation,491,Aerial Imagery,07/2008
L J Trust,"Cloverdale, IA",IA,51249,LJ Trust LLC,"Renewable Energy Power Plant (2 MW of operating capacity, 0 MW of planned capacity, and 1.8 MW of retired capacity)",2,2,2,0,1.8,1,0,1,Renew,,0,0,L J Trust,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Lake Park,"Lake Park, IA",IA,51347,Lake Park Municipal Utilities,"Petro-fired Power Plant (4 MW of operating capacity, 0 MW of planned capacity, and 2.7 MW of retired capacity)",4,4,4,0,2.7,2,0,3,Petro,,22,0.06,Lake Park,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Lost Lakes Wind Farm,"Wahpeton, IA",IA,51347,Lost Lakes Wind Farm LLC,"Renewable Energy Power Plant (100.65 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",100.65,100.65,100.65,0,0,1,0,0,Renew,,24244,2.75,Lost Lakes Wind Farm,,0,221119,Other Electric Power Generation,491,Aerial Imagery,05/2009
Milford (IA),"Milford, IA",IA,51351,Milford Municipal Utilities,"Petro-fired Power Plant (6.5 MW of operating capacity, 0 MW of planned capacity, and 0.4 MW of retired capacity)",6.5,6.5,6.5,0,0.4,5,0,2,Petro,,30,0.05,Milford (IA),,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,na
Northstar Wind Farm,"Estherville, IA",IA,51334,Emmet County Energy LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 199.5 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,199.5,0,0,2,0,Renew,,0,0,Northstar Wind Farm,,0,221119,Other Electric Power Generation,491,Nearest City,10/2007
Northwest Iowa Wind (NextEra),"May City, IA",IA,51351,NextEra Energy Resources LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 250.5 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,250.5,0,0,1,0,Renew,,0,0,Northwest Iowa Wind (Nextera),,0,221119,Other Electric Power Generation,491,Ventyx Research,2010
Osceola Windpower II,"Harris, IA",IA,51345,Osceola Windpower II LLC,"Renewable Energy Power Plant (50 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",50,50,50,0,0,1,0,0,Renew,,130390,29.77,Osceola Windpower II,,1,221119,Other Electric Power Generation,491,Aerial Imagery,07/2008
Red Rock Wind Project,"Superior, IA",IA,51364,Red Rock Wind Energy,"Renewable Energy Power Plant (0 MW of operating capacity, 300 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,300,0,0,1,0,Renew,,0,0,Red Rock Wind Project,,0,221119,Other Electric Power Generation,491,Ventyx Research,12/2008
Rock Rapids,"Rock Rapids, IA",IA,51246,Rock Rapids Utilities,"Petro-fired Power Plant (2.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2.5,2.5,2.5,0,0,1,0,0,Petro,,29,0.13,Rock Rapids,,1,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Sibley One,"Sibley, IA",IA,51249,Sibley IA (City of),"Petro-fired Power Plant (5.2 MW of operating capacity, 0 MW of planned capacity, and 2.5 MW of retired capacity)",5.2,4.8,5.1,0,2.5,3,0,1,Petro,,34,0.08,Sibley One,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Sibley Two,"Sibley, IA",IA,51249,Sibley IA (City of),"Petro-fired Power Plant (1.1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.1,1,1.1,0,0,1,0,0,Petro,,17,0.19,Sibley Two,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Zachary Ridge LLC,"Cloverdale, IA",IA,51249,Zachary Ridge LLC,"Renewable Energy Power Plant (2 MW of operating capacity, 0 MW of planned capacity, and 3.6 MW of retired capacity)",2,2,2,0,3.6,1,0,1,Renew,,0,0,Zachary Ridge LLC,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Albert City,"Albert City, IA",IA,50510,Interstate Power & Light Co,"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 1 MW of retired capacity)",0,0,0,0,1,0,0,1,Petro,,0,0,Albert City,,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Alta Municipal Utilities (IA),"Alta, IA",IA,51002,Alta IA (City of),"Petro-fired Power Plant (2.1 MW of operating capacity, 0 MW of planned capacity, and 0.3 MW of retired capacity)",2.1,1.9,2.1,0,0.3,2,0,1,Petro,,8,0.05,Alta Municipal Utilities (IA),,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Crosswinds Energy Project,"Ayrshire, IA",IA,50515,Crosswind Transmission LLC,"Renewable Energy Power Plant (21 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",21,21,21,0,0,1,0,0,Renew,,53814,29.25,Crosswinds Energy Project,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Earl F Wisdom,"Everly, IA",IA,51301,Corn Belt Power Coop,"Gas-fired Power Plant (143 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",143,113.5,118,0,0,2,0,0,Gas,Coal,4670,0.47,Wisdom,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Fogelman Wind,"Webb, IA",IA,51366,Burdette Fogelman,"Renewable Energy Power Plant (0.01 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.01,0.01,0.01,0,0,1,0,0,Renew,,0,0,Fogelman Wind,,0,221119,Other Electric Power Generation,491,Street Address,03/2008
Hartley,"Hartley, IA",IA,51346,Hartley IA (City of),"Petro-fired Power Plant (0.7 MW of operating capacity, 0 MW of planned capacity, and 1.6 MW of retired capacity)",0.7,0.7,0.7,0,1.6,1,0,4,Petro,,0,0,Hartley,,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Hawarden,"Hawarden, IA",IA,51023,Hawarden IA (City of),"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 2.64 MW of retired capacity)",0,0,0,0,2.64,0,0,4,Petro,,0,0,Hawarden,,0,221112,Fossil Fuel Electric Power Generation,491,Nearest City,na
Hawkeye,"Truesdale, IA",IA,50588,Midwest Power Systems Inc,"Coal-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 19.5 MW of retired capacity)",0,0,0,0,19.5,0,0,2,Coal,,0,0,Hawkeye,,0,221112,Fossil Fuel Electric Power Generation,491,County Centroid,na
Intrepid Wind Project,"Schaller, IA",IA,51053,enXco Inc,"Renewable Energy Power Plant (190.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",190.5,190.5,190.5,0,0,2,0,0,Renew,,447250,26.8,Intrepid Wind,,1,221119,Other Electric Power Generation,491,Aerial Imagery,na
Kuehne Solar,"Sioux City, IA",IA,51104,Herbert J Kuehne,"Renewable Energy Power Plant (0.004 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",0.004,0.004,0.004,0,0,1,0,0,Renew,,0,0,Kuehne Solar,,0,221119,Other Electric Power Generation,491,Street Address,03/2008
Laurens,"Laurens, IA",IA,50554,Laurens IA (City of),"Petro-fired Power Plant (1.6 MW of operating capacity, 0 MW of planned capacity, and 1 MW of retired capacity)",1.6,1.4,1.4,0,1,2,0,1,Petro,,11,0.09,Laurens,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Northwest Wind,"Alta, IA",IA,50588,Waverly Light & Power,"Renewable Energy Power Plant (1.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.4,1.4,1.4,0,0,2,0,0,Renew,,0,0,Northwest Wind,,1,221119,Other Electric Power Generation,491,Aerial Imagery,na
Paullina,"Paullina, IA",IA,51046,Paullina IA (City of),"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 1.6 MW of retired capacity)",0,0,0,0,1.6,0,0,2,Petro,,0,0,Paullina,,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Pocahontas Generation,"Pocahontas, IA",IA,50574,Pocahontas City (IA),"Petro-fired Power Plant (4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",4,3.6,3.6,0,0,2,0,0,Petro,,29,0.09,Pocahontas Generation,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,06/2006
Pomeroy Wind Farm,"Pomeroy, IA",IA,50540,enXco Inc,"Renewable Energy Power Plant (286.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",286.4,286.4,286.4,0,0,4,0,0,Renew,,692914,27.62,Pomeroy Wind Farm,,1,221119,Other Electric Power Generation,491,Aerial Imagery,02/2007
Primghar,"Gaza, IA",IA,51245,Primghar Municipal Electric Utility,"Petro-fired Power Plant (1.7 MW of operating capacity, 0 MW of planned capacity, and 0.9 MW of retired capacity)",1.7,1.4,1.4,0,0.9,2,0,3,Petro,,0,0,Primghar,,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Sanborn,"Sanborn, IA",IA,51248,Sanborn Municipal Light Plant,"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 1.5 MW of retired capacity)",0,0,0,0,1.5,0,0,4,Petro,,0,0,Sanborn,,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Spencer (IA),"Everly, IA",IA,51301,Spencer Municipal Utilities,"Petro-fired Power Plant (23.8 MW of operating capacity, 0 MW of planned capacity, and 13 MW of retired capacity)",23.8,17,20,0,13,1,0,3,Petro,,34,0.02,Spencer,,1,221112,Fossil Fuel Electric Power Generation,491,Regional Maps; Ventyx Research,01/2000
Storm Lake I,"Aurelia, IA",IA,51002,Storm Lake Power Partners I LLC,"Renewable Energy Power Plant (113.9 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",113.9,113.9,113.9,0,0,3,0,0,Renew,,237777,23.83,Storm Lake I,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Storm Lake II,"Alta, IA",IA,51002,Storm Lake Power Partners II LLC,"Renewable Energy Power Plant (80.2 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",80.2,80.2,80.2,0,0,1,0,0,Renew,,158285,22.53,Storm Lake II,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Denison (IA),"Denison, IA",IA,51442,Denison IA (City of),"Coal-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 5.9 MW of retired capacity)",0,0,0,0,5.9,0,0,3,Coal,,0,0,Denison (IA),,0,221112,Fossil Fuel Electric Power Generation,491,USGS Geographic Names Information System,na
Enterprise Wind Energy Project,"Westside, IA",IA,51465,Clipper Windpower Inc,"Renewable Energy Power Plant (0 MW of operating capacity, 70 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,70,0,0,1,0,Renew,,0,0,Enterprise Wind Energy Project,,0,221119,Other Electric Power Generation,491,Ventyx Research,2010
George Neal North,"Salix, IA",IA,51052,MidAmerican Energy Co,"Coal-fired Power Plant (1046 MW of operating capacity, 0 MW of planned capacity, and 5.5 MW of retired capacity)",1046,944.9,944.9,0,5.5,3,0,2,Coal,,6333680,76.52,Raun,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
George Neal South,"Salix, IA",IA,51055,MidAmerican Energy Co,"Coal-fired Power Plant (640 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",640,644,644,0,0,1,0,0,Coal,,3980140,70.55,Neal South,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Glidden,"Glidden, IA",IA,51443,Corn Belt Power Coop,"Coal-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 7 MW of retired capacity)",0,0,0,0,7,0,0,7,Coal,,0,0,Glidden,,0,221112,Fossil Fuel Electric Power Generation,491,Street Address,na
Manilla,"Manilla, IA",IA,51454,Manilla IA (City of),"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 1.1 MW of retired capacity)",0,0,0,0,1.1,0,0,2,Petro,,0,0,Manilla,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Manning Muncipal Light Plant,"Manning, IA",IA,51455,Manning IA (City of),"Petro-fired Power Plant (1 MW of operating capacity, 0 MW of planned capacity, and 0.5 MW of retired capacity)",1,1,1,0,0.5,3,0,1,Petro,,0,0,Balaton Heat Recovery,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
New Harvest Wind Project,"Schleswig, IA",IA,51461,New Harvest Wind Project LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 100 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,100,0,0,1,0,Renew,,0,0,New Harvest Wind Project,,0,221119,Other Electric Power Generation,491,Ventyx Research,08/2010
Onawa Municipal LT & Power,"Onawa, IA",IA,51040,Onawa Municipal Utility,"Petro-fired Power Plant (3.1 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",3.1,2.1,2.2,0,0,5,0,0,Petro,,0,0,Onawa Municipal LT & Power,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Victory Project (IA),"Breda, IA",IA,51436,enXco Inc,"Renewable Energy Power Plant (249 MW of operating capacity, 100 MW of planned capacity, and 0 MW of retired capacity)",249,249,249,100,0,2,1,0,Renew,,734692,33.68,Victory Project (IA),,1,221119,Other Electric Power Generation,491,Aerial Imagery,na
West Receiving,"Denison, IA",IA,51442,Denison IA (City of),"Petro-fired Power Plant (2 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2,1.82,1.82,0,0,1,0,0,Petro,,8,0.05,West Receiving,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Harlan,"Harlan, IA",IA,51537,Harlan Municipal Utilities,"Petro-fired Power Plant (3.4 MW of operating capacity, 0 MW of planned capacity, and 6.396 MW of retired capacity)",3.4,3.2,3.2,0,6.396,2,0,6,Petro,,5,0.02,Harlan,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Kimballton,"Kimballton, IA",IA,51543,Kimballton IA (City of),"Petro-fired Power Plant (0.5 MW of operating capacity, 0 MW of planned capacity, and 0.3 MW of retired capacity)",0.5,0.4,0.4,0,0.3,1,0,3,Petro,,0,0,Kimballton,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Walter Scott Jr Energy Center,"Bellevue, NE",IA,51501,MidAmerican Energy Co,"Coal-fired Power Plant (1778.9 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1778.9,1623,1641,0,0,4,0,0,Coal,,11238200,79.05,Council Bluffs,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Adrian,"Adrian, MN",MN,56110,Adrian Public Utilities Commission,"Petro-fired Power Plant (2 MW of operating capacity, 0 MW of planned capacity, and 3 MW of retired capacity)",2,2,2,0,3,1,0,4,Petro,,7,0.04,Adrian,,0,221112,Fossil Fuel Electric Power Generation,491,Regional Maps; Ventyx Research,10/1995
Christoffer Wind Energy Project,"Brewster, MN",MN,56167,Christoffer Wind Energy IV LLC,"Renewable Energy Power Plant (8.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",8.4,8.4,8.4,0,0,4,0,0,Renew,,19536,26.55,Christoffer Wind Energy Project,,1,221119,Other Electric Power Generation,491,Aerial Imagery,07/2007
Ewington Energy Wind Project,"Round Lake, MN",MN,56167,Ewington Energy Systems LLC,"Renewable Energy Power Plant (19.95 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",19.95,19.95,19.95,0,0,1,0,0,Renew,,55567,31.8,Ewington Energy Wind Project,,0,221119,Other Electric Power Generation,491,Aerial Imagery,10/2006
G Flow Wind Project,"Rushmore, MN",MN,56187,G Flow Wind LLC,"Renewable Energy Power Plant (6.45 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",6.45,6.45,6.45,0,0,5,0,0,Renew,,17259,30.55,G Flow Wind Project,,1,221119,Other Electric Power Generation,491,Aerial Imagery,07/2007
Hills,"Hills, MN",MN,56138,Interstate Power & Light Co,"Petro-fired Power Plant (6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",6,5.8,5.8,0,0,3,0,0,Petro,,-192,-0.38,Hills,,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Jackson (MN FREA),"Jackson, MN",MN,56143,Federated Rural Electric Association,"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 2.9 MW of retired capacity)",0,0,0,0,2.9,0,0,3,Petro,,0,0,Jackson (MN Frea),,0,221112,Fossil Fuel Electric Power Generation,491,Regional Maps; Ventyx Research,10/1995
Jackson (MN JACK),"Jackson, MN",MN,56143,Jackson MN (City of),"Petro-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 4.92 MW of retired capacity)",0,0,0,0,4.92,0,0,4,Petro,,0,0,Jackson (MN Jack),,0,221112,Fossil Fuel Electric Power Generation,491,Regional Maps; Ventyx Research,10/1995
Luverne,"Luverne, MN",MN,56158,Luverne MN (City of),"Petro-fired Power Plant (3.5 MW of operating capacity, 0 MW of planned capacity, and 3.9 MW of retired capacity)",3.5,3.5,3.5,0,3.9,1,0,3,Petro,,49,0.16,Luverne,,1,221112,Fossil Fuel Electric Power Generation,491,Regional Maps; Ventyx Research,10/1995
Minwind I,"Hills, MN",MN,56138,Minwind I LLC,"Renewable Energy Power Plant (3.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",3.8,3.8,3.8,0,0,1,0,0,Renew,,9425,28.31,Minwind I,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Minwind II,"Hills, MN",MN,56138,Minwind II LLC,"Renewable Energy Power Plant (1.9 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.9,1.9,1.9,0,0,1,0,0,Renew,,0,0,Minwind II,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Minwind III,"Beaver Creek, MN",MN,56116,Minwind III LLC,"Renewable Energy Power Plant (1.65 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.65,1.65,1.65,0,0,1,0,0,Renew,,0,0,Minwind III,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Minwind IV,"Beaver Creek, MN",MN,56116,Minwind IV LLC,"Renewable Energy Power Plant (1.65 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.65,1.65,1.65,0,0,1,0,0,Renew,,0,0,Minwind IV,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Minwind IX,"Beaver Creek, MN",MN,56116,Minwind IX LLC,"Renewable Energy Power Plant (1.65 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.65,1.65,1.65,0,0,1,0,0,Renew,,0,0,Minwind IX,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Minwind V,"Beaver Creek, MN",MN,56116,Minwind V LLC,"Renewable Energy Power Plant (1.65 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.65,1.65,1.65,0,0,1,0,0,Renew,,0,0,Minwind V,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Minwind VI,"Beaver Creek, MN",MN,56116,Minwind VI LLC,"Renewable Energy Power Plant (1.65 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.65,1.65,1.65,0,0,1,0,0,Renew,,0,0,Minwind VI,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Minwind VII,"Beaver Creek, MN",MN,56116,Minwind VII LLC,"Renewable Energy Power Plant (1.65 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.65,1.65,1.65,0,0,1,0,0,Renew,,0,0,Minwind VII,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Minwind VIII,"Beaver Creek, MN",MN,56116,Minwind VIII LLC,"Renewable Energy Power Plant (1.65 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.65,1.65,1.65,0,0,1,0,0,Renew,,0,0,Minwind VIII,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Nobles Wind Project,"Reading, MN",MN,56165,enXco Service Corp,"Renewable Energy Power Plant (201 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",201,201,201,0,0,1,0,0,Renew,,0,0,Nobles Wind Project,,0,221119,Other Electric Power Generation,491,Company Maps; Ventyx Research,06/2009
Prairie Rose Wind,"Hardwick, MN",MN,56156,Prairie Rose Wind LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 200 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,200,0,0,1,0,Renew,,0,0,Prairie Rose Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,05/2010
Riverwinds 1,"Worthington, MN",MN,56187,Missouri River Energy Services,"Renewable Energy Power Plant (5.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",5.5,5.5,5.5,0,0,2,0,0,Renew,,0,0,Riverwinds 1,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
S&P Windfarm LLC,"Brewster, MN",MN,56167,S&P Windfarm LLC,"Renewable Energy Power Plant (2 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2,2,2,0,0,1,0,0,Renew,,4673,26.67,S&P Windfarm LLC,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Sieve Windfarm,"Wilmont, MN",MN,56185,Sieve Windfarm LLC,"Renewable Energy Power Plant (1.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.5,1.5,1.5,0,0,1,0,0,Renew,,0,0,Sieve Windfarm,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Wilmont Hill,"Wilmont, MN",MN,56185,Bright Light Capital LLC,"Renewable Energy Power Plant (1.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1.5,1.5,1.5,0,0,1,0,0,Renew,,5996,45.63,Wilmont Hill,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
Worthington,"Worthington, MN",MN,56187,Worthington MN (City of),"Gas-fired Power Plant (19.6 MW of operating capacity, 0 MW of planned capacity, and 17 MW of retired capacity)",19.6,19.6,19.6,0,17,13,0,3,Gas,Renew,61,0.04,Worthington,,1,221112,Fossil Fuel Electric Power Generation,491,Street Address,03/2001
Crofton Bluffs Wind Farm,"Bloomfield, NE",NE,68730,Crofton Bluffs Wind LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 40 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,40,0,0,1,0,Renew,,0,0,Crofton Bluffs Wind Farm,,0,221119,Other Electric Power Generation,491,Ventyx Research,09/2011
Crofton Hills Wind Farm,"Bloomfield, NE",NE,68730,Community Wind Energy Transmission LLC,"Renewable Energy Power Plant (42 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",42,42,42,0,0,1,0,0,Renew,,0,0,Crofton Hills Wind Farm,,0,221119,Other Electric Power Generation,491,Ventyx Research,04/2008
Elkhorn Ridge Wind,"Bloomfield, NE",NE,68730,Elkhorn Ridge Wind LLC,"Renewable Energy Power Plant (81 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",81,81,81,0,0,1,0,0,Renew,,164662,23.21,Elkhorn Ridge Wind,,0,221119,Other Electric Power Generation,491,Aerial Imagery,03/2008
Gavins Point,"Yankton, SD",SD,68774,USACE Omaha District,"Hydroelectric Power Plant (132.3 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",132.3,102,102,0,0,3,0,0,Water,,584337,65.4,Gavins Point,,1,221111,Hydroelectric Power Generation,491,Aerial Imagery,10/1995
Grande Prairie Wind Farm,"O'Neill, NE",NE,68763,Holt County Wind LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 500 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,500,0,0,3,0,Renew,,0,0,Grande Prairie Wind Farm,,0,221119,Other Electric Power Generation,491,Ventyx Research,2008
Minnechaduza,"Valentine, NE",NE,69201,Nebraska Public Power District,"Hydroelectric Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 0.2 MW of retired capacity)",0,0,0,0,0.2,0,0,1,Water,,0,0,Minnechaduza,,0,221111,Hydroelectric Power Generation,491,Ventyx Research,na
Spencer (NE),"Bristow, NE",NE,68719,Nebraska Public Power District,"Hydroelectric Power Plant (2.4 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",2.4,1.8,1.8,0,0,2,0,0,Water,,14783,93.75,Spencer (NE),,0,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
Springview,"Springview, NE",NE,68778,Bluestem LLC,"Renewable Energy Power Plant (3 MW of operating capacity, 0 MW of planned capacity, and 1.4 MW of retired capacity)",3,3,3,0,1.4,2,0,2,Renew,,0,0,Springview,,0,221119,Other Electric Power Generation,491,Aerial Imagery,na
