Name,City,State,Zip Code,Plant Operator,Plant Desc.,Operating Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Planned Capacity (MW),Retired Capacity (MW),Operating Units,Planned Units,Retired Units,Fuel 1,Fuel 2,Net Gen. MWh,Capacity Factor,Sub 1,Sub 2,No. Lines,NAICS Code,NAICS Desc.,SIC Code,Source,Source Date
Texas City Plant Union Carbide,"La Marque, TX",TX,77590,Union Carbide Corp Texas City,"Gas-fired Power Plant (96 MW of operating capacity, 0 MW of planned capacity, and 40 MW of retired capacity)",96,70,77,0,40,1,0,1,Gas,,258832,42.21,Texas City Plant Union Carbide,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Texas City Refinery,"Texas City, TX",TX,77590,Valero Refining Co Texas City,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 39.5 MW of retired capacity)",0,0,0,0,39.5,0,0,3,Gas,,0,0,Texas City Refinery,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Texas Medical Center,"Southside Place, TX",TX,77030,Thermal Energy Corp (TECO),"Gas-fired Power Plant (50 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",50,50,50,0,0,1,0,0,Gas,,0,0,Texas Medical Center,,0,221112,Fossil Fuel Electric Power Generation,491,Street Address,06/2008
Texas Petrochemicals Corp,"Galena Park, TX",TX,77017,Texas Petrochemicals Corp,"Gas-fired Power Plant (35 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",35,35,35,0,0,1,0,0,Gas,,213756,69.72,Texas Petrochemicals Corp,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2002
Texoga Woodlands Unit 3,"Tamina, TX",TX,77385,Biofuels Power Corp,"Renewable Energy Power Plant (11 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",11,7.8,7.8,0,0,1,0,0,Renew,,0,0,Texoga Woodlands Unit 3,,0,221119,Other Electric Power Generation,491,Street Address,na
Victoria County Station (TX),"Palacios, TX",TX,77465,Exelon Corp,"Nuclear Power Plant (0 MW of operating capacity, 3000 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,3000,0,0,2,0,Nuc,,0,0,Victoria County Station (TX),,0,221113,Nuclear Electric Power Generation,491,Ventyx Research,06/2007
W A Parish,"Thompsons, TX",TX,77469,NRG Texas LLC,"Coal-fired Power Plant (3969 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",3969,3661,3664,0,0,9,0,0,Coal,Gas,18971800,59.16,W A Parish,W A Parish Primary,2,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Webster (TX),"Nassau Bay, TX",TX,77573,NRG Texas LLC,"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 651.3 MW of retired capacity)",0,0,0,0,651.3,0,0,4,Gas,,0,0,Webster,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Westhollow Technology Center,"Mission Bend, TX",TX,77082,Shell Chemical LP,"Gas-fired Power Plant (3.7 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",3.7,3.7,3.7,0,0,1,0,0,Gas,,34362,106.02,Westhollow Technology Center,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
White Stallion Energy Center,"Wadsworth, TX",TX,77457,White Stallion Energy Center LLC,"Coal-fired Power Plant (0 MW of operating capacity, 1320 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,1320,0,0,2,0,Coal,,0,0,White Stallion Energy Center,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,11/2008
Big Brown,"Fairfield, TX",TX,75840,Luminant,"Coal-fired Power Plant (1186.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1186.8,1195,1208,0,0,2,0,0,Coal,,7714690,73.7,Big Brown,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Ennis Tractebel Power Co LP,"Ennis, TX",TX,75119,Ennis Tractebel Power Co LP,"Gas-fired Power Plant (418 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",418,312,358,0,0,1,0,0,Gas,,1392620,50.95,Ennis Tractebel Power Co LP,,2,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Freestone Power Generation,"Cayuga, TX",TX,75840,Freestone Power Generation LP,"Gas-fired Power Plant (1036 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",1036,948,1024.6,0,0,2,0,0,Gas,,3263710,39.3,Richland Chambers,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,09/2002
Lake Creek (TX),"Riesel, TX",TX,76682,Luminant Generation Co LLC,"Gas-fired Power Plant (321.6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",321.6,321.6,321.6,0,0,5,0,0,Gas,,51007,1.81,Lake Creek,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,01/2001
Lakeside Energy Center,"Eureka, TX",TX,75840,MyPower Corp,"Gas-fired Power Plant (0 MW of operating capacity, 640 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,640,0,0,1,0,Gas,,0,0,Lakeside Energy Center,,0,221112,Fossil Fuel Electric Power Generation,491,Ventyx Research,02/2009
Limestone (NRG),"Farrar, TX",TX,75846,NRG Texas LLC,"Coal-fired Power Plant (1849.8 MW of operating capacity, 800 MW of planned capacity, and 0 MW of retired capacity)",1849.8,1689,1689,800,0,2,1,0,Coal,,11952300,80.78,Limestone,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Lindale Renewable Energy,"Lindale, TX",TX,75771,Lindale Renewable Energy LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 50 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,50,0,0,1,0,Renew,,0,0,Lindale Renewable Energy,,0,221119,Other Electric Power Generation,491,Company Maps; Ventyx Research,05/2009
Nacogdoches Power Electric Generating Plant,"Cushing, TX",TX,75760,Nacogdoches Power LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 100 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,100,0,0,1,0,Renew,,0,0,Nacogdoches Power Electric Generating Plant,,0,221119,Other Electric Power Generation,491,Ventyx Research,na
