Name,Owner Type,Regulation,Control Area,Plan Area,Holding Co.,Summer Peak,Winter Peak,Summer Capacity,Winter Capacity,Net Gen. MW,Source,Source Date
Little Valley NY (Village of),Muni,Regulated,New York ISO,New York Independent System Operator Inc,Little Valley NY (Village of),3,5,0,0,0,Previously Mapped Features; Ventyx Research,na
Monroe NC (City of),Muni,Regulated,Progress Energy Carolina East,Progress Energy Carolina,Monroe NC (City of),116,97,0,0,0,Previously Mapped Features; Ventyx Research,na
Weimar Utilities,Muni,Regulated,ERCOT ISO,Lower Colorado River Authority,Weimar Utilities,8,6,0,0,0,Previously Mapped Features; Ventyx Research,na
Endicott NY (Village of),Muni,Regulated,New York ISO,New York Independent System Operator Inc,Endicott NY (Village of),9,12,0,0,0,Previously Mapped Features; Ventyx Research,na
Albemarle NC (City of),Muni,Regulated,Progress Energy Carolina East,Progress Energy Carolina,Albemarle NC (City of),67,61,0,0,0,Previously Mapped Features; Ventyx Research,na
Central Electric Membership Corp,DistCoop,Regulated,Progress Energy Carolina East,North Carolina Electric Membership Corp,Central Electric Membership Corp,86,109,0,0,0,Regional Maps; Ventyx Research,Unknown
Cherryville NC (City of),Muni,Regulated,Progress Energy Carolina West,North Carolina Municipal Power Agency No 1,Cherryville NC (City of),12,10,0,0,0,Previously Mapped Features; Ventyx Research,na
Clayton NC (Town of),Muni,Regulated,Progress Energy Carolina East,Progress Energy Carolina,Clayton NC (Town of),24,20,0,0,0,Previously Mapped Features; Ventyx Research,na
Concord NC (City of),Muni,Regulated,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Concord NC (City of),197,153,0,0,1822,Previously Mapped Features; Ventyx Research,na
Morganton NC (City of),Muni,Regulated,Progress Energy Carolina West,North Carolina Municipal Power Agency No 1,Morganton NC (City of),68,58,2.6,2.3,0,Previously Mapped Features; Ventyx Research,na
New River Light & Power Co,Muni,Regulated,Progress Energy Carolina West,North Carolina Municipal Power Agency No 1,New River Light & Power Co,45,51,0,0,0,Regional Maps; Ventyx Research,Unknown
Four County Electric Member Corp,DistCoop,Regulated,Progress Energy Carolina East,North Carolina Electric Membership Corp,Four County Electric Member Corp,194,190,0,0,0,Regional Maps; Ventyx Research,Unknown
Georgia Power Co,IOU,Regulated,Southern Co Services Inc,Georgia Power Co,Southern Co,16080,15173,15576.1,16114.4,72394300,Company Maps; Ventyx Research,Unknown
Habersham Electric Member Corp,DistCoop,Regulated,Southern Co Services Inc,Oglethorpe Power Corp,Habersham Electric Member Corp,112,155,0,0,0,Company Maps; Ventyx Research,Unknown
