Name,Owner Type,Regulation,Control Area,Plan Area,Holding Co.,Summer Peak,Winter Peak,Summer Capacity,Winter Capacity,Net Gen. MW,Source,Source Date
Cleveland Public Power,Muni,Regulated,FirstEnergy,FirstEnergy Corp,Cleveland Public Power,290,249,48,54,1119,Ventyx Research,04/2003
Clyde Light & Power,Muni,Regulated,American Electric Power,American Electric Power Co Inc,Clyde Light & Power,36,32,0,0,0,Ventyx Research,04/2003
Grafton OH (Village of),Muni,Regulated,American Electric Power,American Municipal Power OH,Grafton OH (Village of),6,6,0,0,0,Ventyx Research,04/2003
Miami OK (City of),Muni,Regulated,Grand River Dam Authority,Grand River Dam Authority,Miami OK (City of),40,29,0,0,0,Previously Mapped Features; Ventyx Research,na
Milan Municipal Electric Light Dept,Muni,Regulated,FirstEnergy,FirstEnergy Corp,Milan Municipal Electric Light Dept,2,2,0,0,0,Ventyx Research,04/2003
Cuyahoga Falls OH (City of),Muni,Regulated,American Electric Power,American Municipal Power OH,Cuyahoga Falls OH (City of),100,71,0,0,0,Ventyx Research,04/2003
Cygnet OH (Village of),Muni,Regulated,American Electric Power,American Municipal Power OH,Cygnet OH (Village of),1,1,0,0,0,Ventyx Research,04/2003
Deshler OH (Village of),Muni,Regulated,American Electric Power,American Municipal Power OH,Deshler OH (Village of),4,4,0,0,0,Ventyx Research,04/2003
Edgerton Utilities,Muni,Regulated,American Electric Power,American Municipal Power OH,Edgerton Utilities,5,4,0,0,0,Ventyx Research,04/2003
Elmore OH (Village of),Muni,Regulated,American Electric Power,American Municipal Power OH,Elmore OH (Village of),3,2,0,0,0,Ventyx Research,04/2003
Genoa Electric Dept,Muni,Regulated,American Electric Power,American Municipal Power OH,Genoa Electric Dept,3,2,0,0,0,Ventyx Research,04/2003
Hubbard Light & Water Dept,Muni,Regulated,American Electric Power,American Municipal Power OH,Hubbard Light & Water Dept,14,10,0,0,0,Ventyx Research,04/2003
Montpelier OH (Village of),Muni,Regulated,American Electric Power,American Municipal Power OH,Montpelier OH (Village of),14,11,0,0,0,Ventyx Research,04/2003
Manitou OK (City of),Muni,Regulated,Oklahoma Gas & Electric Co,Oklahoma Municipal Power Authority,Manitou OK (City of),1,1,0,0,0,Previously Mapped Features; Ventyx Research,na
Mooreland OK (City of),Muni,Regulated,Western Farmers Electric Coop,Western Farmers Electric Coop,Mooreland OK (City of),8,4,0,0,0,Previously Mapped Features; Ventyx Research,na
Choctaw Electric Coop Inc,DistCoop,Regulated,Western Farmers Electric Coop,Western Farmers Electric Coop,Choctaw Electric Coop Inc,93,93,0,0,0,Regional Maps; Ventyx Research,11/2003
