Name
Leech Lake
Red Cliff
Bad River
Mille Lacs
Lake Traverse (Sisseton)
Oneida (East)
Pine Ridge
Sac and Fox (KS-NE)
Osage
Eastern Cherokee
Turtle Mountain
Passamaquoddy Homestead Trust Lands
Devils Lake Sioux
Grand Portage
Ho-Chunk
Menominee
Lac Courte Oreilles
Cheyenne River
Rosebud
Bois Forte (Nett Lake)
Fort Berthold
Red Lake
Penobscot
Ontonagon
Oil Springs
Yankton
Coushatta
Fort Independence
Brighton
Big Cypress
Indian Township
Sandy Lake
Pleasant Point
Deer Creek
Shakopee Community
Miccosukee
Vermillion Lake
Minnesota (Chippewa) Homestead Trust Lands
Upper Sioux Community
Makah
Bay Mills
L'Anse
Quinault
Colville
Squaxin Island
Spokane
Flathead
White Earth
Warm Springs
Fond du Lac
Prairie Island Community
Northern Cheyenne
Fort Hall
St. Regis Mohawk
Standing Rock
Lac Vieux Desert
Sault Ste. Marie
Flandreau
Fort McDermitt
Hopi
Picayune Rancheria
Hualapai
Lower Sioux Community
Lac du Flambeau
Poospatuck
Huron Potawatomi
Taos Pueblo
Fort Mojave
Navajo
Grand Traverse
Tonawanda
Hannahville Community
Potawatomi (Wisconsin)
Chemehuevi
Laguna Pueblo
Stockbridge-Munsee
St. Croix
Oneida (West)
Cattaraugus
Morongo
Fort Apache
Payson (Yavapai-Apache) Community
Torres-Martinez
Mesa Grande
San Carlos
Gila River
Narragansett
Sac and Fox (Iowa)
Fort Yuma (Quechan)
Papago
Sauk-Suiattle
Isabella
Onondaga
Fort Peck
Crow
Yurok
Wind River
Lookout Rancheria
Likely Rancheria
Ute Mountain
Lower Brule
Chitimacha
Round Valley
Enterprise Rancheria
Crow Creek
Tuscarora
Seminole Homestead Trust Lands
Te-Moak
Mashantucket Pequot
Sheep Ranch Rancheria
Benton Paiute
Ozette
Southern Ute
Allegany
Potawatomi (Kansas)
Santee
Catawba
Tunica-Biloxi
Poarch Creek
Colusa (Cachil Dehe) Rancheria
Winnebago
Alabama and Coushatta
Hollywood
Ramah Navajo Community
Omaha
Mississippi Choctaw
Pit River Tribe of California
Iowa
Kickapoo
Hoh
Jamestown Klallam
Inaja-Cosmit
Upper Skagit
Port Gamble
Yakama
Fort Belknap
Susanville
Lower Elwha
"Coos, Lower Umpqua, and Siuslaw"
Skull Valley
Nez Perce
Quileute
Stillaguamish
Quartz Valley Rancheria
Hoopa Valley
Nooksack
Lummi
Redwood Valley Rancheria
Tulalip
Blue Lake Rancheria
Muckleshoot
San Felipe/Santa Ana joint area
Northwestern Shoshoni
Swinomish
Dry Creek Rancheria
Big Lagoon Rancheria
Port Madison
Kootenai
Blackfeet
Nisqually
Big Valley Rancheria
XL Ranch
Skokomish
Kalispel
Sherwood Valley Rancheria
Tuolumne Rancheria
Puyallup
Alturas Rancheria
Cedarville Rancheria
Shoalwater
Redding Rancheria
Chehalis
Coeur d'Alene
Rocky Boy's
Pascua Yaqui
Rumsey Rancheria
Dresslerville Colony
Carson Colony
Big Pine Rancheria
Shingle Springs Rancheria
Grand Ronde
Resighini Rancheria
Upper Lake Rancheria
Fort Bidwell
Fallon Colony
Crow/Northern Cheyenne Area
Grindstone Creek Rancheria
Cow Creek
Sycuan
Siletz
Pinoleville Rancheria
Umatilla
Trinidad Rancheria
Table Bluff Rancheria
Smith River Rancheria
Elk Valley Rancheria
Summit Lake
Roaring Creek Rancheria
Karok
Big Bend Rancheria
Robinson Rancheria
Lone Pine Rancheria
Santa Rosa Rancheria
Burns Paiute
Jamul Village
Montgomery Creek Rancheria
Winnemucca Colony
Duck Valley
Laytonville Rancheria
Fallon
Middletown Rancheria
Rohnerville Rancheria
Greenville Rancheria
Manchester (Point Arena) Rancheria
Ysleta Del Sur Pueblo
Pyramid Lake
Coyote Valley
Stewarts Point Rancheria
Uintah and Ouray
Reno-Sparks Colony
Big Sandy Rancheria
Berry Creek Rancheria
Woodfords Community
Hopland Rancheria
Sulphur Bank (El-Em) Rancheria
Cortina Rancheria
Jackson Rancheria
Santa Ynez
Goshute
Chicken Ranch Rancheria
Washoe
Walker River
Table Mountain Rancheria
Yerington
Yomba
Ely Colony
Bishop Rancheria
Duckwater
Bridgeport Colony
Las Vegas Colony
Jicarilla Apache
San Juan Pueblo
Tule River
Paiute of Utah
North Fork Rancheria
Cold Springs Rancheria
Kaibab
Havasupai
Picuris Pueblo
Moapa River
Pojoaque Pueblo
Nambe Pueblo
Rincon
Tesuque Pueblo
Santa Clara Pueblo
Cochiti Pueblo
San Ildefonso Pueblo
Santo Domingo Pueblo
San Manuel
Pechanga
Jemez Pueblo
Twenty-Nine Palms
Cahuilla
Camp Verde
Augustine
San Felipe Pueblo
San Felipe/Santo Domingo joint area
Cabazon
Zia Pueblo
Sandia Pueblo
Ramona
Soboba
Agua Caliente
Acoma Pueblo
Santa Rosa
Zuni Pueblo
Canoncito
Isleta Pueblo
Santa Ana Pueblo
Yavapai
Colorado River
La Jolla
Manzanita
Pauma
Los Coyotes
San Pasqual
Pala
Viejas Rancheria
Santa Ysabel
La Posta
Barona Rancheria
Alamo Navajo
Cuyapaipe
Fort McDowell
Capitan Grande
Gila Bend
San Xavier
Salt River
Campo
Maricopa (Ak-Chin)
Mescalero Apache
Cocopah
