Management,Type,Acres,District,Name,Organization
National Forest Service,Wilderness Area,26558.14200860000,Pinedale Ranger District,Bridger-Teton National Forest,Bridger Wilderness
National Forest Service,Wilderness Area,172528.15021800000,Big Timber Ranger District,Gallatin National Forest,Absaroka-Beartooth Wilderness
National Forest Service,Wilderness Area,71725.57590260000,Bozeman Ranger District,Gallatin National Forest,Lee Metcalf Wilderness
National Forest Service,Wilderness Area,352.09904333500,Butte Ranger District,Beaverhead-Deerlodge National Forest,Anaconda Pintler Wilderness
National Forest Service,Wilderness Area,106210.47374600000,Madison Ranger District,Beaverhead-Deerlodge National Forest,Lee Metcalf Wilderness
National Forest Service,Wilderness Area,39121.15970700000,Pintler Ranger District,Beaverhead-Deerlodge National Forest,Anaconda Pintler Wilderness
National Forest Service,Wilderness Area,52077.58586600000,Ely Ranger District,Humboldt-Toiyabe National Forest,Grant Range Wilderness
National Forest Service,Wilderness Area,35037.93102970000,Chelan Ranger District,Okanogan-Wenatchee National Forests,Lake Chelan-Sawtooth Wilderness
National Forest Service,Wilderness Area,169756.24854000000,High Sierra Ranger District,Sierra National Forest,John Muir Wilderness
National Forest Service,Wild and Scenic River,21093.51698482524,Mount Whitney Ranger District,Inyo National Forest,
National Forest Service,Wilderness Area,484.66487531700,Cascade Ranger District,Boise National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,26694.59385480000,Ely Ranger District,Humboldt-Toiyabe National Forest,Quinn Canyon Wilderness
National Forest Service,National Wildlife Refuge,164.44972661200,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,4.24120321263,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,Wilderness Area,103.46312202900,Buffalo Ranger District,Bridger-Teton National Forest,Washakie Wilderness
National Forest Service,Wilderness Area,12043.28157340000,Ashton/Island Park Ranger District,Caribou-Targhee National Forest,Winegar Hole Wilderness
National Forest Service,Wilderness Area,7136.06032583000,Middle Fork Ranger District,Salmon-Challis National Forest,Frank Church-River of No Return Wilderness
National Forest Service,Wilderness Area,740477.99665900005,Middle Fork Ranger District,Salmon-Challis National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,81307.39398769999,North Fork Ranger District,Salmon-Challis National Forest,Frank Church-River of No Return Wilderness
National Forest Service,National Wildlife Refuge,317.47457689600,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,1.15361300125,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,Wilderness Area,238261.98830800000,Jackson Ranger District,Bridger-Teton National Forest,Gros Ventre Wilderness
National Forest Service,Historic/Scenic Trail,65268.84766880000,Doublehead Ranger District,Modoc National Forest,
National Forest Service,National Wildlife Refuge,5.07617564834,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,135.72375702000,,Fremont-Winema National Forests,Upper Klamath NWR
National Forest Service,Wilderness Area,23102.59749700000,Pinedale Ranger District,Bridger-Teton National Forest,Gros Ventre Wilderness
National Forest Service,Wilderness Area,4.14208129444,Mccall Ranger District,Payette National Forest,Frank Church-River of No Return Wilderness
National Forest Service,Wilderness Area,3.20637209378,Mccall Ranger District,Payette National Forest,Gospel-Hump Wilderness
National Forest Service,Wilderness Area,54597.44692040000,Santa Catalina Ranger District,Coronado National Forest,Pusch Ridge Wilderness
National Forest Service,Wilderness Area,1860.60781155000,Krassell Ranger District,Payette National Forest,Frank Church-River of No Return Wilderness
National Forest Service,Wilderness Area,1102.77811631000,Safford Ranger District,Coronado National Forest,Santa Teresa Wilderness
National Forest Service,Wilderness Area,24682.30350170000,Salt Lake Ranger District,Wasatch-Cache National Forest,Deseret Peak Wilderness
National Forest Service,Wild and Scenic River,13369.66704817506,Krassell Ranger District,Payette National Forest,
National Forest Service,Wild and Scenic River,8311.24815024139,Mccall Ranger District,Payette National Forest,
National Forest Service,Wilderness Area,2584.08743047000,Safford Ranger District,Coronado National Forest,Santa Teresa Wilderness
National Forest Service,Wilderness Area,4435.33291912000,Spring Mountains National Recreation Area,Humboldt-Toiyabe National Forest,Rainbow Mountain Wilderness
National Forest Service,Wild and Scenic River,16810.23638295462,Powell Ranger District,Clearwater National Forest,
National Forest Service,Wild and Scenic River,15113.45319283547,Clearwater Ranger District,Nez Perce National Forest,
National Forest Service,Wild and Scenic River,20151.55812980733,Moose Creek Ranger District,Nez Perce National Forest,
National Forest Service,Wild and Scenic River,17339.00396549573,Red River Ranger District,Nez Perce National Forest,
National Forest Service,Wilderness Area,25516.18956860000,Safford Ranger District,Coronado National Forest,Santa Teresa Wilderness
National Forest Service,National Recreation Area,317641.77792000002,Spring Mountains National Recreation Area,Humboldt-Toiyabe National Forest,
National Forest Service,Historic/Scenic Trail,64114.60729780000,Naches Ranger District,Okanogan-Wenatchee National Forests,
National Forest Service,Historic/Scenic Trail,39936.52224090000,Cle Elum Ranger District,Okanogan-Wenatchee National Forests,
National Forest Service,Wilderness Area,201454.32932300001,,,West Chichagof-Yakobi Wilderness
National Forest Service,Wilderness Area,58427.24429310000,Bend/Fort Rock Ranger District,Deschutes National Forest,Three Sisters Wilderness
National Forest Service,Wilderness Area,32219.46598370000,Crescent Ranger District,Deschutes National Forest,Diamond Peak Wilderness
National Forest Service,Wilderness Area,46368.72812390000,Mt Adams Ranger District,Gifford Pinchot National Forest,Mount Adams Wilderness
National Forest Service,Wilderness Area,6878.56363716000,Carson Ranger District,Humboldt-Toiyabe National Forest,Humboldt-Toiyabe National Forest
National Forest Service,Wilderness Area,8770.50669699000,Upper Lake Ranger District,Mendocino National Forest,Snow Mountain Wilderness
National Forest Service,Wilderness Area,216600.86847500000,Darrington Ranger District,Mt Baker-Snoqualmie National Forest,Glacier Peak Wilderness
National Forest Service,Wilderness Area,30784.90045250000,Darrington Ranger District,Mt Baker-Snoqualmie National Forest,Henry M. Jackson Wilderness
National Forest Service,Wilderness Area,60845.76341230000,Mt Baker Ranger District,Mt Baker-Snoqualmie National Forest,Glacier Peak Wilderness
National Forest Service,Wilderness Area,72889.58187700000,North Bend Ranger District,Mt Baker-Snoqualmie National Forest,Alpine Lakes Wilderness
National Forest Service,Wilderness Area,2162.94393935000,Santa Catalina Ranger District,Coronado National Forest,Pusch Ridge Wilderness
National Forest Service,Wilderness Area,152932.04516400001,Naches Ranger District,Okanogan-Wenatchee National Forests,William O. Douglas Wilderness
National Forest Service,Wilderness Area,4507.41492410000,Mt. Shasta Ranger District,Shasta Trinity National Forest,Shasta Trinity National Forest
National Forest Service,Wilderness Area,21085.41747350000,Diamond Lake Ranger District,Umpqua National Forest,Mount Thielsen Wilderness
National Forest Service,Wilderness Area,73025.83124869999,Detroit Ranger District,Willamette National Forest,Mount Jefferson Wilderness
National Forest Service,Wilderness Area,1082.29957634000,Santa Catalina Ranger District,Coronado National Forest,Rincon Mountain Wilderness
National Forest Service,Wilderness Area,1515.82298990000,Santa Catalina Ranger District,Coronado National Forest,Pusch Ridge Wilderness
National Forest Service,Wilderness Area,855.05370141700,Santa Catalina Ranger District,Coronado National Forest,Rincon Mountain Wilderness
National Forest Service,Wilderness Area,8266.81055433000,Cedar City Ranger District,Dixie National Forest,Ashdown Gorge Wilderness
National Forest Service,Wilderness Area,33973.78186780000,Detroit Ranger District,Willamette National Forest,Opal Creek Wilderness
National Forest Service,Wild and Scenic River,8091.95881946755,Beckwourth Ranger District,Plumas National Forest,
National Forest Service,Wild and Scenic River,1514.98484782659,Mt. Hough Ranger District,Plumas National Forest,
National Forest Service,Wild and Scenic River,35281.49759022340,Clackamas River Ranger District,Mt. Hood National Forest,
National Forest Service,Wild and Scenic River,20554.13409500765,Bend/Fort Rock Ranger District,Deschutes National Forest,
National Forest Service,Wild and Scenic River,20577.96975259430,Crescent Ranger District,Deschutes National Forest,
National Forest Service,Wild and Scenic River,21755.86048728578,Sisters Ranger District,Deschutes National Forest,
National Forest Service,Wild and Scenic River,5515.77735320897,Bly Ranger District,Fremont-Winema National Forests,
National Forest Service,Wild and Scenic River,6848.58897559860,Chiloquin Ranger District,Fremont-Winema National Forests,
National Forest Service,Wild and Scenic River,21117.15436085259,Zigzag Ranger District,Mt. Hood National Forest,
National Forest Service,Wild and Scenic River,5783.50054990534,Big Summit Ranger District,Ochoco National Forest,
National Forest Service,Wild and Scenic River,1741.84938867307,Paulina Ranger District,Ochoco National Forest,
National Forest Service,Wilderness Area,35493.59138130000,Santa Catalina Ranger District,Coronado National Forest,Rincon Mountain Wilderness
National Forest Service,Wilderness Area,3129.79768364000,Helena Ranger District,Helena National Forest,Gates of the Mountains Wilderness
National Forest Service,Wilderness Area,34339.75292370000,Ruby Mountains Ranger District,Humboldt-Toiyabe National Forest,East Humboldts Wilderness
National Forest Service,Wilderness Area,44062.19610920000,Ely Ranger District,Humboldt-Toiyabe National Forest,Currant Mountain Wilderness
National Forest Service,Wild and Scenic River,17862.58035856799,High Cascades Ranger District,Rogue River-Siskiyou National Forests,
National Forest Service,Historic/Scenic Trail,50604.40193900000,Devils Garden Ranger District,Modoc National Forest,
National Forest Service,Historic/Scenic Trail,10836.32652540000,McCloud Ranger District,Shasta Trinity National Forest,
National Forest Service,Wild and Scenic River,25696.62201821641,Darrington Ranger District,Mt Baker-Snoqualmie National Forest,
National Forest Service,Wilderness Area,68735.86578080000,Ely Ranger District,Humboldt-Toiyabe National Forest,Mt. Moriah Wilderness
National Forest Service,Wilderness Area,442.20544116800,Mountain City Ranger District,Humboldt-Toiyabe National Forest,Jarbidge Wilderness
National Forest Service,National Wildlife Refuge,4.28412440939,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,Historic/Scenic Trail,32328.10219390000,Bridgeport Ranger District,Humboldt-Toiyabe National Forest,
National Forest Service,Historic/Scenic Trail,52658.15136790000,Carson Ranger District,Humboldt-Toiyabe National Forest,
National Forest Service,Historic/Scenic Trail,43967.33802880000,Klamath Ranger District,Fremont-Winema National Forests,
National Forest Service,Historic/Scenic Trail,3936.27400891000,Sisters Ranger District,Deschutes National Forest,
National Forest Service,National Wildlife Refuge,2.97492278045,,Modoc National Forest,LOWER KLAMATH NATIONAL WILDLIFE REFUGE
National Forest Service,Historic/Scenic Trail,38956.64603370000,Zigzag Ranger District,Mt. Hood National Forest,
National Forest Service,National Recreation Area,8918.55768586000,Mt Baker Ranger District,Mt Baker-Snoqualmie National Forest,
National Forest Service,Wilderness Area,55582.55315690000,Spring Mountains National Recreation Area,Humboldt-Toiyabe National Forest,Mt. Charleston Wilderness
National Forest Service,Wilderness Area,18994.65809250000,Spring Mountains National Recreation Area,Humboldt-Toiyabe National Forest,La Madre Mountain Wilderness
National Forest Service,National Wildlife Refuge,1.35575540166,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,Historic/Scenic Trail,37506.78868340000,Methow Valley Ranger District,Okanogan National Forest,
National Forest Service,Historic/Scenic Trail,54776.35532700000,Lake Wenatchee/Leavenworth Ranger District,Okanogan-Wenatchee National Forests,
National Forest Service,Historic/Scenic Trail,10401.79795350000,Darrington Ranger District,Mt Baker-Snoqualmie National Forest,
National Forest Service,National Wildlife Refuge,5.29535079339,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,6.60932595007,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,Wilderness Area,16080.07318620000,Covelo Ranger District,Mendocino National Forest,Mendocino National Forest
National Forest Service,Wilderness Area,109822.52998100000,Jarbidge Ranger District,Humboldt-Toiyabe National Forest,Jarbidge Wilderness
National Forest Service,Wilderness Area,94535.77362370001,Ruby Mountains Ranger District,Humboldt-Toiyabe National Forest,Ruby Mountains Wilderness
National Forest Service,Wilderness Area,11557.73602400000,Grindstone Ranger District,Mendocino National Forest,Mendocino National Forest
National Forest Service,Historic/Scenic Trail,20082.37751220000,Carson Ranger District,Humboldt-Toiyabe National Forest,
National Forest Service,Historic/Scenic Trail,11228.04320550000,Shasta Lake Ranger District,Shasta Trinity National Forest,
National Forest Service,Wilderness Area,24482.99993860000,Missoula Ranger District,Lolo National Forest,Welcome Creek Wilderness
National Forest Service,Wilderness Area,682.41839038800,Clearwater Ranger District,Nez Perce National Forest,Gospel-Hump Wilderness
National Forest Service,Wilderness Area,4911.66591304000,Clearwater Ranger District,Nez Perce National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,557890.25321999996,Moose Creek Ranger District,Nez Perce National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,40816.28821780000,Logan Ranger District,Wasatch-Cache National Forest,Mount Naomi Wilderness
National Forest Service,Wilderness Area,28218.88472990000,Spanish Fork Ranger District,Uinta National Forest,Mount Nebo Wilderness
National Forest Service,Wilderness Area,8966.23756805000,Mesa Ranger District,Tonto National Forest,Four Peaks Wilderness
National Forest Service,National Wildlife Refuge,124.08418517600,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,9.28613052008,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,2.61416225308,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,Wild and Scenic River,3769.41892614993,Hot Springs Ranger District,Sequoia National Forest,
National Forest Service,Wilderness Area,353.60038503400,Salmon River Ranger District,Nez Perce National Forest,Selway-Bitterroot Wilderness
National Forest Service,National Wildlife Refuge,2.54466240591,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,Wilderness Area,127.85105622500,Fairfield Ranger District,Sawtooth National Forest,Sawtooth Wilderness
National Forest Service,Wilderness Area,295.05645865000,Mesa Ranger District,Tonto National Forest,Four Peaks Wilderness
National Forest Service,Wilderness Area,62.43821849060,Wapiti Ranger District,Shoshone National Forest,Teton Wilderness
National Forest Service,Wilderness Area,26038.81358370000,Chemult Ranger District,Fremont-Winema National Forests,Mount Thielsen Wilderness
National Forest Service,Wilderness Area,4032.23823611000,Clarks Fork Ranger District,Shoshone National Forest,North Absaroka Wilderness
National Forest Service,Wilderness Area,95553.13976180001,Mesa Ranger District,Tonto National Forest,Superstition Wilderness
National Forest Service,Wilderness Area,8.60065692837,Tonto Basin Ranger District,Tonto National Forest,Four Peaks Wilderness
National Forest Service,Wilderness Area,22724.56683660000,Klamath Ranger District,Fremont-Winema National Forests,Mountain Lakes Wilderness
National Forest Service,Wilderness Area,42975.81882110000,Klamath Ranger District,Fremont-Winema National Forests,Sky Lakes Wilderness
National Forest Service,Wilderness Area,70458.48588379999,High Cascades Ranger District,Rogue River-Siskiyou National Forests,Sky Lakes Wilderness
National Forest Service,Wilderness Area,71619.27043340000,Cowlitz Ranger District,Gifford Pinchot National Forest,Goat Rocks Wilderness
National Forest Service,Wilderness Area,17051.06346370000,Cowlitz Ranger District,Gifford Pinchot National Forest,William O. Douglas Wilderness
National Forest Service,Wilderness Area,32053.12475330000,Sisters Ranger District,Deschutes National Forest,Mount Jefferson Wilderness
National Forest Service,Wilderness Area,14451.52340600000,Sisters Ranger District,Deschutes National Forest,Mount Washington Wilderness
National Forest Service,Wilderness Area,36480.31365660000,Sisters Ranger District,Deschutes National Forest,Three Sisters Wilderness
National Forest Service,National Wildlife Refuge,1.47897090785,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,Wild and Scenic River,19986.32137972799,Kern River Ranger District,Sequoia National Forest,
National Forest Service,Wilderness Area,17033.82090400000,Washakie Ranger District,Shoshone National Forest,Fitzpatrick Wilderness
National Forest Service,Wilderness Area,80336.49816230001,Wind River Ranger District,Shoshone National Forest,Fitzpatrick Wilderness
National Forest Service,Wilderness Area,4026.79417054000,Wind River Ranger District,Shoshone National Forest,Washakie Wilderness
National Forest Service,Wilderness Area,259.81033574000,Globe Ranger District,Tonto National Forest,Superstition Wilderness
National Forest Service,Wilderness Area,19682.49763210000,Globe Ranger District,Tonto National Forest,Superstition Wilderness
National Forest Service,Wild and Scenic River,8229.72568839837,Tule River Ranger District,Sequoia National Forest,
National Forest Service,Wilderness Area,13977.78569520000,Pleasant Grove Ranger District,Uinta National Forest,Lone Peak Wilderness
National Forest Service,Wilderness Area,1881.12372501000,Pleasant Grove Ranger District,Uinta National Forest,Mount Timpanogos Wilderness
National Forest Service,National Wildlife Refuge,1.51002175810,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,2.57756669680,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,78.38445073720,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,12.56552275060,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Monument,126135.36528031813,Tule River Ranger District,Sequoia National Forest,
National Forest Service,Wilderness Area,4383.62038512000,Salt Lake Ranger District,Wasatch-Cache National Forest,Lone Peak Wilderness
National Forest Service,Wilderness Area,2171.78214685000,Salt Lake Ranger District,Wasatch-Cache National Forest,Mount Olympus Wilderness
National Forest Service,Wild and Scenic River,196.47175540052,Lowman Ranger District,Boise National Forest,
National Forest Service,Wild and Scenic River,25947.53376644617,Lochsa Ranger District,Clearwater National Forest,
National Forest Service,National Wildlife Refuge,95.28486324100,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,1.79014037879,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,1.64614758700,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,3.70883122435,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,2.67946554986,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,1.23388533312,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,2.81462542370,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,6.70712895991,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,1.90496862684,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,9.14640221292,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,1.56784215839,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,Wilderness Area,39356.29866130000,McKenzie River Ranger District,Willamette National Forest,Mount Washington Wilderness
National Forest Service,Wilderness Area,182683.82023700001,McKenzie River Ranger District,Willamette National Forest,Three Sisters Wilderness
National Forest Service,National Wildlife Refuge,12.32626553450,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,2.10251079423,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,12.48709881060,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,8.18257593182,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,Historic/Scenic Trail,12815.89795120000,Warner Mountain Ranger District,Modoc National Forest,
National Forest Service,National Wildlife Refuge,2.04113397545,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,1.74047786693,,Fremont-Winema National Forests,KLAMATH MARSH NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,6.03549498598,,Fremont-Winema National Forests,Upper Klamath NWR
National Forest Service,National Wildlife Refuge,1.20678145225,,Fremont-Winema National Forests,Upper Klamath NWR
National Forest Service,National Wildlife Refuge,2.56727022431,,Fremont-Winema National Forests,Upper Klamath NWR
National Forest Service,National Wildlife Refuge,1.18471081668,,Fremont-Winema National Forests,Upper Klamath NWR
National Forest Service,National Monument,90234.77207843447,Hot Springs Ranger District,Sequoia National Forest,
National Forest Service,National Recreation Area,0.49015166332,Methow Valley Ranger District,Okanogan National Forest,
National Forest Service,National Recreation Area,23.63050698070,Chelan Ranger District,Okanogan-Wenatchee National Forests,
National Forest Service,National Wildlife Refuge,18.10563766210,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,3.22232949060,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,1.63174390870,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,86.03324528280,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,3.60978606876,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,1.25579533484,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,4.01503736701,,Modoc National Forest,CLEAR LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,499.38803999200,,Modoc National Forest,TULE LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,3.31233799765,,Modoc National Forest,TULE LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,Historic/Scenic Trail,19.32985843970,Placerville Ranger District,Eldorado National Forest,
National Forest Service,Historic/Scenic Trail,24474.51401810000,Mt. Hough Ranger District,Plumas National Forest,
National Forest Service,Historic/Scenic Trail,2543.29736636000,Bridgeport Ranger District,Humboldt-Toiyabe National Forest,
National Forest Service,Historic/Scenic Trail,318.60703212900,Mt. Shasta Ranger District,Shasta Trinity National Forest,
National Forest Service,Historic/Scenic Trail,49856.29683960000,Crescent Ranger District,Deschutes National Forest,
National Forest Service,Historic/Scenic Trail,1216.28253386000,Truckee River Ranger District,Tahoe National Forest,
National Forest Service,Historic/Scenic Trail,9604.12471045000,Diamond Lake Ranger District,Umpqua National Forest,
National Forest Service,Wilderness Area,6804.99612720000,Almanor Ranger District,Lassen National Forest,Ishi Wilderness
National Forest Service,Historic/Scenic Trail,14934.61559590000,Chemult Ranger District,Fremont-Winema National Forests,
National Forest Service,National Recreation Area,0.02552701462,Paonia Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",
National Forest Service,National Recreation Area,102340.72172099999,Flaming Gorge Ranger District,Ashley National Forest,
National Forest Service,National Recreation Area,35231.51813970000,Sulphur Ranger District,Arapaho and Roosevelt National Forests,
National Forest Service,National Wildlife Refuge,3.33862453417,,Cleveland National Forest,SAN DIEGO NATIONAL WILDLIFE REFUGE
National Forest Service,Historic/Scenic Trail,22699.97836540000,Beckwourth Ranger District,Plumas National Forest,
National Forest Service,Historic/Scenic Trail,92276.93893160000,Hat Creek Ranger District,Lassen National Forest,
National Forest Service,Historic/Scenic Trail,74852.75451309999,Eagle Lake Ranger District,Lassen National Forest,
National Forest Service,Historic/Scenic Trail,47250.96386720000,Hood River Ranger District,Mt. Hood National Forest,
National Forest Service,Historic/Scenic Trail,33581.18982470000,Detroit Ranger District,Willamette National Forest,
National Forest Service,Historic/Scenic Trail,15934.98670350000,Barlow Ranger District,Mt. Hood National Forest,
National Forest Service,Historic/Scenic Trail,11135.72119460000,High Cascades Ranger District,Rogue River-Siskiyou National Forests,
National Forest Service,Historic/Scenic Trail,229.76888212800,Siskiyou Mountains Ranger District,Rogue River-Siskiyou National Forests,
National Forest Service,Historic/Scenic Trail,43561.91151300000,Bend/Fort Rock Ranger District,Deschutes National Forest,
National Forest Service,Historic/Scenic Trail,39168.90681070000,McKenzie River Ranger District,Willamette National Forest,
National Forest Service,Historic/Scenic Trail,76.92336409090,Oak Knoll Ranger District,Klamath National Forest,
National Forest Service,Historic/Scenic Trail,26160.15795730000,Mt Adams Ranger District,Gifford Pinchot National Forest,
National Forest Service,Historic/Scenic Trail,29820.98106340000,Clackamas River Ranger District,Mt. Hood National Forest,
National Forest Service,Historic/Scenic Trail,678.20864106900,Middle Fork Ranger District,Willamette National Forest,
National Forest Service,National Recreation Area,26.82559997840,Gunnison Ranger District,"Grand Mesa, Uncompahgre and Gunnison National For*",
National Forest Service,Historic/Scenic Trail,26856.98389660000,Arrowhead Ranger District,San Bernardino National Forest,
National Forest Service,Historic/Scenic Trail,39121.99079830000,Big Bear Ranger District,San Bernardino National Forest,
National Forest Service,Wilderness Area,489.50934138500,Hat Creek Ranger District,Lassen National Forest,Lassen National Forest
National Forest Service,Historic/Scenic Trail,16632.80664450000,Chelan Ranger District,Okanogan-Wenatchee National Forests,
National Forest Service,Wilderness Area,132414.97803299999,,,Misty Fjords National Monument Wilderness
National Forest Service,Wilderness Area,104206.24065300000,,,South Baranof Wilderness
National Forest Service,Wilderness Area,16243.38736330000,Hat Creek Ranger District,Lassen National Forest,Thousand Lakes Wilderness
National Forest Service,Wilderness Area,182365.32948799999,,,Stikine-LeConte Wilderness
National Forest Service,Wilderness Area,15323.91386670000,Naches Ranger District,Okanogan-Wenatchee National Forests,Okanogan-Wenatchee National Forests
National Forest Service,Wilderness Area,5794.11098775000,Mt Adams Ranger District,Gifford Pinchot National Forest,Trapper Creek Wilderness
National Forest Service,Wilderness Area,14656.85840150000,Cowlitz Ranger District,Gifford Pinchot National Forest,Tatoosh Wilderness
National Forest Service,Wilderness Area,91.99941232820,Paisley Ranger District,Fremont-Winema National Forests,Gearhart Mountain Wilderness
National Forest Service,Wilderness Area,14375.75538090000,North Bend Ranger District,Mt Baker-Snoqualmie National Forest,Clearwater Wilderness
National Forest Service,Wilderness Area,21093.18013510000,Bly Ranger District,Fremont-Winema National Forests,Gearhart Mountain Wilderness
National Forest Service,National Wildlife Refuge,10.56689526980,,Los Padres National Forest,HOPPER MOUNTAIN NATIONAL WILDLIFE REFUGE
National Forest Service,Wilderness Area,281.31821739700,Mount St. Helens National Volcanic Monument,Gifford Pinchot National Forest,Trapper Creek Wilderness
National Forest Service,Wilderness Area,630.41353988200,Cowlitz Ranger District,Gifford Pinchot National Forest,Mount Adams Wilderness
National Forest Service,Wilderness Area,3292.25194512000,Mt. Hough Ranger District,Plumas National Forest,Bucks Lake Wilderness
National Forest Service,Wilderness Area,2948.63004221000,Cowlitz Ranger District,Gifford Pinchot National Forest,Glacier View Wilderness
National Forest Service,Wilderness Area,844.81164758800,Mount St. Helens National Volcanic Monument,Gifford Pinchot National Forest,Mount Adams Wilderness
National Forest Service,Wilderness Area,887.07465513300,Mount St. Helens National Volcanic Monument,Gifford Pinchot National Forest,Indian Heaven Wilderness
National Forest Service,Wilderness Area,0.38964985634,Mono Ranger District,Inyo National Forest,John Muir Wilderness
National Forest Service,Wilderness Area,8140.02507184000,Carson Ranger District,Humboldt-Toiyabe National Forest,Mokelumne Wilderness
National Forest Service,Wilderness Area,20127.99241550000,Mt Adams Ranger District,Gifford Pinchot National Forest,Indian Heaven Wilderness
National Forest Service,Wilderness Area,21896.90071220000,Carson Ranger District,Humboldt-Toiyabe National Forest,Mt. Rose Wilderness
