Management,Type,Acres,District,Name,Organization
National Forest Service,Wilderness Area,37231.52336360000,Blue Mountain Ranger District,Malheur National Forest,Strawberry Mountain Wilderness
National Forest Service,Wilderness Area,212763.99783800001,Sawtooth National Recreation Area,Sawtooth National Forest,Sawtooth Wilderness
National Forest Service,Wilderness Area,250.83498079800,Globe Ranger District,Tonto National Forest,Superstition Wilderness
National Forest Service,Wild and Scenic River,38922.26174916871,Middle Fork Ranger District,Salmon-Challis National Forest,
National Forest Service,Wild and Scenic River,36874.39519927489,North Fork Ranger District,Salmon-Challis National Forest,
National Forest Service,Wild and Scenic River,17593.35431770388,Salmon-Cobalt Ranger District,Salmon-Challis National Forest,
National Forest Service,Wilderness Area,32230.22857530000,Prairie City Ranger District,Malheur National Forest,Strawberry Mountain Wilderness
National Forest Service,Wilderness Area,69578.87948150000,Salmon River Ranger District,Nez Perce National Forest,Hells Canyon Wilderness
National Forest Service,Historic/Scenic Trail,82377.41122790000,Dubois Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,83010.09851050000,Ashton/Island Park Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,95922.36856510000,Powell Ranger District,Clearwater National Forest,
National Forest Service,Island Park,515677.22457811818,,Coronado National Forest,
National Forest Service,Wild and Scenic River,32596.00744270062,West Fork Ranger District,Bitterroot National Forest,
National Forest Service,Historic/Scenic Trail,23040.53520950000,Pierce Ranger District,Clearwater National Forest,
National Forest Service,Wilderness Area,6422.53343451000,New Meadows Ranger District,Payette National Forest,Hells Canyon Wilderness
National Forest Service,Historic/Scenic Trail,40716.37119570000,Lochsa Ranger District,Clearwater National Forest,
National Forest Service,Historic/Scenic Trail,29784.19880920000,Hebgen Lake Ranger District,Gallatin National Forest,
National Forest Service,Historic/Scenic Trail,0.67716337983,Leadore Ranger District,Salmon-Challis National Forest,
National Forest Service,Historic/Scenic Trail,0.67716337983,Dillon Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,528.47126489100,Leadore Ranger District,Salmon-Challis National Forest,
National Forest Service,Historic/Scenic Trail,216.29983254500,Dubois Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,46130.23966240000,Sula Ranger District,Bitterroot National Forest,
National Forest Service,Historic/Scenic Trail,15719.55106930000,Wise River Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,33890.23286090000,Jefferson Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,0.79300641204,Dubois Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,4.44483985863,Wind River Ranger District,Shoshone National Forest,
National Forest Service,Historic/Scenic Trail,0.79300641204,Dillon Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,1.23758849960,Ashton/Island Park Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,1.23758849960,Madison Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,1.13880401492,Ashton/Island Park Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,1.13880401492,Hebgen Lake Ranger District,Gallatin National Forest,
National Forest Service,National Wildlife Refuge,1.34217427484,,Humboldt-Toiyabe National Forest,RUBY LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,Historic/Scenic Trail,0.41825811801,Dillon Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Wilderness Area,12060.66727640000,Council Ranger District,Payette National Forest,Hells Canyon Wilderness
National Forest Service,Wild and Scenic River,40323.30640346866,Canyon Lakes Ranger District,Arapaho and Roosevelt National Forests,
National Forest Service,Wilderness Area,3335.84361096000,Hells Canyon NRA,Wallowa-Whitman National Forest,Eagle Cap Wilderness
National Forest Service,Wilderness Area,90.13389197170,Wallowa Valley Ranger District,Wallowa-Whitman National Forest,Eagle Cap Wilderness
National Forest Service,Wilderness Area,7092.40812271000,Whitman Ranger District,Wallowa-Whitman National Forest,Monument Rock Wilderness
National Forest Service,Wild and Scenic River,19223.83903162017,Salmon River Ranger District,Nez Perce National Forest,
National Forest Service,Wild and Scenic River,22426.57196801332,North Fork John Day Ranger District,Umatilla National Forest,
National Forest Service,National Wildlife Refuge,1.65487377646,,Humboldt-Toiyabe National Forest,RUBY LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,National Wildlife Refuge,1.15468910816,,Humboldt-Toiyabe National Forest,RUBY LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,Wilderness Area,38759.49264130000,Sula Ranger District,Bitterroot National Forest,Anaconda Pintler Wilderness
National Forest Service,Wilderness Area,193821.90191399999,Powell Ranger District,Clearwater National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,400828.57455000002,Buffalo Ranger District,Bridger-Teton National Forest,Teton Wilderness
National Forest Service,National Wildlife Refuge,1.51315767284,,Humboldt-Toiyabe National Forest,RUBY LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,Wild and Scenic River,6844.18902508393,New Meadows Ranger District,Payette National Forest,
National Forest Service,Wilderness Area,1987.81748314000,Challis Ranger District,Salmon-Challis National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,102057.20799300000,Livingston Ranger District,Gallatin National Forest,Absaroka-Beartooth Wilderness
National Forest Service,Wilderness Area,1362.81499989000,Safford Ranger District,Coronado National Forest,Galiuro Wilderness
National Forest Service,Wilderness Area,74235.87161089999,Safford Ranger District,Coronado National Forest,Galiuro Wilderness
National Forest Service,Wilderness Area,99359.29261170000,Red River Ranger District,Nez Perce National Forest,Frank Church-River of No Return Wilderness
National Forest Service,Wilderness Area,165485.46466600001,Red River Ranger District,Nez Perce National Forest,Gospel-Hump Wilderness
