Latitude,Longitude,State,Region,Area with GCF > 30%,Area with GCF > 35%,Area with GCF > 40%,Area (km^2)
47.707800,-118.780400,Washington,West,342.78,340.14,160.43,416.599987147
47.657600,-119.042200,Washington,West,379.86,374.79,123.61,416.322838286
47.606500,-119.303300,Washington,West,307,285.25,108.18,416.014634314
48.110900,-118.665300,Washington,West,31.16,17.4,5.19,418.852573993
47.934000,-118.591300,Washington,West,60.16,58.07,44.24,417.905721043
47.450900,-122.649600,Washington,West,25.16,0.62,0,375.762836397
48.465100,-118.815300,Washington,West,31.95,17.01,3.72,420.962032464
48.287900,-118.739900,Washington,West,63.35,35.39,8.07,419.933436616
48.414500,-119.082300,Washington,West,45.08,31.59,15.55,420.584635081
48.310900,-119.614000,Washington,West,74.29,31.41,0,420.024076227
48.237600,-119.005800,Washington,West,3.04,1.73,0.37,419.609857051
48.186500,-119.270900,Washington,West,21.08,0.46,0.3,419.350738185
48.134600,-119.535300,Washington,West,43.13,3.82,0,419.078757857
48.434000,-119.959400,Washington,West,6.16,1.97,0.32,420.830641336
48.379800,-120.224600,Washington,West,1.09,0.64,0,996.056575330
48.204000,-120.142900,Washington,West,6.27,1.04,0.16,617.070590345
48.081900,-119.799000,Washington,West,18.49,1.36,0,418.672877766
48.028400,-120.061900,Washington,West,15.67,11.33,4.93,418.371759758
47.974100,-120.324100,Washington,West,0,0,0,630.079755245
47.389000,-122.904000,Washington,West,106.42,9.27,0,364.080094270
47.540900,-123.853700,Washington,West,1.54,1.27,0.46,623.577283969
48.337500,-118.473400,Washington,West,42.91,30.97,23.26,420.179594173
47.863200,-120.846300,Washington,West,0.38,0.22,0.22,1234.80020806
48.097400,-121.538800,Washington,West,0,0,0,616.603009058
48.038600,-121.799300,Washington,West,8.15,0.88,0.03,418.607890224
47.864700,-121.711200,Washington,West,13.17,7.39,4.11,417.511381966
47.749200,-121.365400,Washington,West,0.11,0.11,0.11,861.711199983
47.691000,-121.623800,Washington,West,14.37,10.07,6.38,416.506744161
47.979000,-122.059000,Washington,West,2.01,0,0,412.740579685
47.918700,-122.317900,Washington,West,45.36,21.89,1.02,232.285471205
47.805500,-121.969800,Washington,West,1.13,0,0,417.115985082
47.632100,-121.881500,Washington,West,2.8,0,0,416.168624964
47.572500,-122.138300,Washington,West,0,0,0,415.771924447
47.857600,-122.575900,Washington,West,71.06,30.01,0,218.552643794
47.795700,-122.833200,Washington,West,101.57,5.39,0.42,312.059241981
47.733100,-123.089600,Washington,West,0,0,0,614.983476091
47.684800,-122.484700,Washington,West,0.22,0.11,0,198.390532158
47.561000,-122.996400,Washington,West,85.64,0.33,0,347.200725466
47.512000,-122.394300,Washington,West,31.97,20.56,0,243.076327570
47.498000,-123.251000,Washington,West,4.92,1.51,0.35,618.227493516
47.369800,-123.757600,Washington,West,15.21,4.18,0.98,414.668122044
47.326300,-123.157600,Washington,West,2.17,0,0,373.647964161
47.263000,-123.410400,Washington,West,34.29,3.23,2.25,413.941706496
47.475300,-124.106800,Washington,West,206.3,155.94,12.92,415.211085991
47.304700,-124.009700,Washington,West,267.03,139.14,3.39,414.173578605
48.909400,-122.252300,Washington,West,7.95,4.79,1.21,409.824229118
48.786100,-122.781300,Washington,West,73.11,44.77,1.95,100.670156925
48.735100,-122.160000,Washington,West,21.73,9.75,4.65,422.369500434
48.674100,-122.423900,Washington,West,9.01,3.88,2.03,301.559000289
48.612400,-122.686900,Washington,West,42.79,15.19,4.32,117.881918016
48.723200,-123.044600,Washington,West,26.01,6.29,1.53,58.6901129984
48.549900,-122.949100,Washington,West,100.26,24.18,0.37,219.720656118
48.486600,-123.210400,Washington,West,28.78,8.3,0.61,59.7434722258
48.397400,-124.347400,Washington,West,4.6,3.27,2.05,7.10106344873
49.016500,-117.883900,Washington,West,0,0,0,173.601879445
47.238800,-124.260900,Washington,West,149.89,147.61,140.3,152.419079977
47.987900,-124.403200,Washington,West,221.79,90.9,18.24,418.136956859
47.579500,-124.457800,Washington,West,7.67,7.51,2.62,71.6080942426
48.930600,-117.268000,Washington,West,0,0,0,466.553873073
46.440900,-117.445400,Washington,West,260.51,238.86,209.24,409.280421076
47.920500,-124.658200,Washington,West,40.97,40.68,17.02,171.576151656
48.487300,-119.693500,Washington,West,11.3,3.85,0.32,420.916588953
49.098100,-118.502600,Washington,West,0,0,0,7.01186213945
49.048200,-118.774500,Washington,West,0,0,0,98.3586843725
46.530100,-116.933500,Idaho,West,118.69,56.39,0.06,409.746471179
47.750000,-124.557600,Washington,West,0.46,0.27,0.03,61.1572182809
47.646100,-124.204700,Washington,West,61.89,40.08,7.89,416.304076262
48.997500,-119.045700,Washington,West,1.24,0.21,0.08,218.475966694
48.819900,-118.968200,Washington,West,2.42,0.63,0.21,422.915787171
48.692500,-118.622600,Washington,West,18.5,3.98,1.55,422.277927355
49.063500,-116.447300,Idaho,West,0,0,0,63.5998693126
46.728300,-123.972000,Washington,West,159.36,158.29,122.5,236.031539956
48.185700,-123.632800,Washington,West,9.39,1.2,0,118.194585943
48.642400,-118.891400,Washington,West,20.56,5.26,2.43,421.911154529
48.261900,-124.862200,Washington,West,0.56,0.56,0,0.659662323032
48.120500,-123.890500,Washington,West,25.14,11.41,2.25,419.994972039
48.054600,-124.147300,Washington,West,96.05,28.46,18.56,418.479883612
47.883300,-124.048600,Washington,West,0.14,0.09,0.06,570.214597736
47.712000,-123.950700,Washington,West,2.99,2.32,2.05,722.034638695
48.376600,-122.854600,Washington,West,7.04,5.34,0.16,29.5481134941
48.203500,-122.760800,Washington,West,1.41,1.09,0,145.581834489
46.923100,-117.903700,Washington,West,402.05,384.83,131.95,411.995588948
46.044200,-117.567900,Washington,West,0,0,0,507.480477072
46.133800,-117.061500,Washington,West,162.05,135.38,17.39,510.282416000
46.262500,-116.297500,Idaho,West,217.01,98.35,0.3,408.188366107
46.384200,-115.528800,Idaho,West,0,0,0,818.258107100
46.739200,-115.644000,Idaho,West,14.4,2.41,0.52,616.688310076
48.077700,-123.278500,Washington,West,0,0,0,317.184585428
48.030500,-122.668000,Washington,West,115.03,90.01,6.07,197.451904509
47.968300,-122.926200,Washington,West,114.36,25.73,4.78,386.626356848
47.905300,-123.183600,Washington,West,0,0,0,625.248576146
48.560800,-122.068600,Washington,West,7.25,4.23,2.27,421.484898910
46.616100,-116.419400,Idaho,West,6.68,3.22,0.75,410.216859618
46.485900,-117.189700,Washington,West,119.6,62.9,13.28,409.573007985
48.500200,-122.331400,Washington,West,0.59,0.08,0,417.736638196
48.438800,-122.593400,Washington,West,22.64,0.16,0,215.498960169
48.386600,-121.978000,Washington,West,17.27,13.84,5.98,420.440204783
48.265300,-122.500700,Washington,West,6.66,0.85,0,193.742664002
46.395200,-117.700400,Washington,West,230.98,226.01,209.98,408.979947884
46.428500,-118.532300,Washington,West,356.81,238.71,33.26,409.240177945
47.015300,-117.386500,Washington,West,399.68,393.65,387.92,412.610228503
47.147700,-116.606300,Idaho,West,168.54,36.57,20.51,413.434191021
47.352500,-115.294600,Montana,Plains,3.78,2.8,1.77,414.520183853
47.928500,-115.201900,Montana,Plains,19.9,15.32,12.26,417.894161959
47.808400,-116.002700,Idaho,West,5.91,3.6,2.79,417.219147332
47.680900,-116.798400,Idaho,West,52.32,24.49,10.86,416.422058051
48.152600,-122.149000,Washington,West,0.29,0.08,0,418.381052144
48.091900,-122.408900,Washington,West,50.51,21.11,0.53,203.659824181
