Facility,Status,Capacity (MW),Location,Owner,Developer,Energy Purchaser,Turbine Mfg.,No. of Turbines,Commercial Online Date,Wind Power Class,Wind Speed Range - 80m,Wind Speed Range - 100m,Offshore Wind Speed Range - 90m
Broken Bow Wind Farm,In Service,80,Custer County Nebraska,Midwest Wind Energy,Midwest Wind Energy,Nebraska Public Power District,GE Energy,50,2012,3,7.5 - 8,8 - 8.5,
Carroll,In Service,150,Carroll County IA,MidAmerican Energy,MidAmerican Energy,MidAmerican Energy,GE Energy,100,2008,4,8 - 8.5,8.5 - 9,
Brookfield Tehachapi 1 (CCDLP),In Service,102,Tehachapi CA,Brookfield Renewable Energy Group,Coram Energy Group,Pacific Gas & Electric Co,Vestas,34,2012,5,8.5 - 9,8.5 - 9,
Brookfield Tehachapi 2 (Alta VIII),In Service,150,Tehachapi Pass CA,Brookfield Renewable Energy Group,Terra-Gen Power,Southern California Edison Co,Vestas,50,2012,5,7.5 - 8,7.5 - 8,
Brown County Wind,In Service,1.5,Mt. Sterling IL,Adams Electric Cooperative,Adams Electric Cooperative,Adams Electric Cooperative,VENSYS,1,2011,2,6 - 6.5,6.5 - 7,
Buena Vista,In Service,38,Altamont Pass CA,Babcock & Brown,Babcock & Brown,Pacific Gas & Electric Co,Mitsubishi,38,2006,4,6.5 - 7,6.5 - 7,
Buffalo Bear,In Service,18.9,OK,Edison Mission Group,Edison Mission Group,Western Farmers Electric Coop,Suzlon Energy Company,9,2008,4,7.5 - 8,8 - 8.5,
Buffalo Gap 3,In Service,170.2,TX,AES Wind Generation,AES Wind Generation,Direct Energy,Siemens,74,2008,4,8 - 8.5,8.5 - 9,
Buffalo Gap II,In Service,232.5,Taylor County TX,,AES Corp.,Direct Energy,GE Energy,155,2007,4,8 - 8.5,8.5 - 9,
Buffalo Gap,In Service,120.6,TX,AES,AES,Direct Energy,Vestas,67,2005,4,8 - 8.5,8.5 - 9,
Buffalo Mountain Wind Energy Center,In Service,1.98,Anderson County TN,Tennessee Valley Authority,EnXco,Tennessee Valley Authority,Vestas,3,2000,2,4.5 - 5,4.5 - 5,
Buffalo Mountain Wind Energy Center,In Service,27,Anderson County TN,Invenergy,Invenergy,Tennessee Valley Authority,Vestas,15,2004,2,4.5 - 5,4.5 - 5,
Buffalo Ridge II Wind Power Project,In Service,210,Brookings and Deuel counties SD,Iberdrola Renewables,Iberdrola Renewables,,Gamesa,105,2010,5,8 - 8.5,8.5 - 9,
Buffalo Ridge,In Service,25.99,Buffalo Ridge MN,Iberdrola Renewables,Kenetech Windpower,Xcel Energy,Kenetech,73,1994,5,8 - 8.5,8.5 - 9,
Buffalo Ridge Wind Farm I,In Service,50.4,Brookings County SD,Iberdrola Renewables,Iberdrola Renewables,NIPSCO,Suzlon Energy Company,24,2009,3,7.5 - 8,8 - 8.5,
Bull Creek Wind Farm,In Service,180,Near Gail TX,Eurus,Eurus,Market,Mitsubishi,180,2008,3,8 - 8.5,8 - 8.5,
Bull Hill,In Service,34.2,Hancock County ME,First Wind,First Wind,NSTAR,Vestas,19,2012,2,5.5 - 6,6 - 6.5,
Bulldog,In Service,1.5,Greenfield IA,Bulldog LLC,,Farmers' Cooperative of Greenfield,GE Energy,1,2010,4,8 - 8.5,8 - 8.5,
Burco Farm and Feed,In Service,0.1,Independence IA,Burco Farm and Feed,,Burco Farm and Feed,Northern Power Systems,1,2010,3,7 - 7.5,7.5 - 8,
Bureau Valley School District,In Service,0.66,Bureau Valley IL,Bureau Valley School District,Engineers Architects Professional Corp.,Bureau Valley School District,Vestas,1,2004,2,7 - 7.5,7 - 7.5,
Burley Butte,In Service,19.5,Cassia County ID,Exergy,Exergy,Idaho Power,GE Energy,13,2011,2,6 - 6.5,6 - 6.5,
Busch Ranch,In Service,28.8,Pueblo CO,Black Hills Colorado Electric (50%) - Altagas (50%),EUI and Black Hills Colorado Electric,Black Hills Energy,Vestas,16,2012,3,7.5 - 8,8 - 8.5,
Butler Ridge Wind Farm,In Service,54,Dodge County WI,Babcock & Brown,Midwest Wind Energy/Eurus,WPPI,GE Energy,36,2009,2,6.5 - 7,7 - 7.5,
Byers Auto,In Service,0.1,Columbus OH,Byers Auto,,Byers Auto,Northern Power Systems,1,2010,2,5.5 - 6,6 - 6.5,
CWES I,In Service,1.08,Altamont Pass CA,SeaWest,SeaWest,Pacific Gas & Electric Co,Enertech,18,0,4,6.5 - 7,6.5 - 7,
CWES II,In Service,0.24,Altamont Pass CA,SeaWest,SeaWest,Pacific Gas & Electric Co,Enertech,6,0,4,6.5 - 7,6.5 - 7,
Cabazon,In Service,39.75,San Gorgonio CA,NextEra Energy Resources,GE Energy,Southern California Edison Co,Zond,53,1999,4,8 - 8.5,8 - 8.5,
Cabazon,In Service,40.92,San Gorgonio CA,Goldman Sachs/Shell,Canon Power Corp.,L.A. Department of Water Resources,Vestas,62,2002,4,8 - 8.5,8 - 8.5,
California Ridge,In Service,214.4,Fithian IL,Ivenergy,Ivenergy,Tennessee Valley Authority,GE Energy,134,2012,3,7 - 7.5,7 - 7.5,
Callahan Divide Wind Energy Center,In Service,114,Taylor County TX,NextEra Energy Resources,NextEra Energy Resources,Austin Energy,GE Energy,76,2005,4,8 - 8.5,8.5 - 9,
Calverton,In Service,0.05,Calverton NY,Long Island Power Authority,Long Island Power Authority,Long Island Power Authority,Atlantic Orient Co.,1,2002,2,6 - 6.5,6.5 - 7,
Calwind II CEC,In Service,8.58,Tehachapi CA,,CalWind Resources,Southern California Edison Co,Vestas,13,2003,7,9 - 9.5,9 - 9.5,
Calwind Resources,In Service,14.11,Tehachapi CA,,CalWind Resources,Southern California Edison Co,Bonus,217,0,7,9 - 9.5,9 - 9.5,
Camelot,In Service,1.5,Plymouth MA,Camelot Wind LLC,Atlantic Design,Net-metered,Goldwind,1,2012,2,6 - 6.5,6 - 6.5,
Carleton College,In Service,1.65,Northfield MN,Carleton College,Carleton College,Carleton College,NEG Micon,1,2004,3,7 - 7.5,7.5 - 8,
Cameron Ridge,In Service,56,Tehachapi CA,Caithness,NextEra Energy Resources/M&N Wind Power/RES Americas,Southern California Edison Co,NEG Micon,80,1999,7,9 - 9.5,9 - 9.5,
Camp Grove Wind Farm,In Service,150,Marshall & Stark Counties IL,OEG (Orion Energy Group),OEG (Orion Energy Group),AEP-Appalachian Power,GE Energy,100,2007,3,7 - 7.5,7.5 - 8,
Camp Reed,In Service,22.5,Elmore County ID,Exergy,Exergy,Idaho Power,GE Energy,15,2011,2,5.5 - 6,6 - 6.5,
Camp Springs II (1Q08),In Service,88.5,TX,Invenergy,Invenergy,,GE Energy,59,2008,3,8 - 8.5,8.5 - 9,
Camp Springs II (4Q07),In Service,31.5,TX,Invenergy,Invenergy,,GE Energy,21,2007,3,8 - 8.5,8.5 - 9,
Camp Springs,In Service,130.5,TX,Invenergy,Invenergy,,GE Energy,87,2007,3,8 - 8.5,8.5 - 9,
Camp William Utah National Guard,In Service,0.23,Riverton UT,Camp William Utah National Guard,,Camp William Utah National Guard,NEG Micon,1,2000,2,4.5 - 5,5 - 5.5,
Camp William Utah National Guard,In Service,0.66,Riverton UT,Camp William Utah National Guard,,Camp William Utah National Guard,Vestas,1,2005,2,4.5 - 5,5 - 5.5,
Campbell Hill,In Service,99,Northeast of Casper WY,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,PacifiCorp,GE Energy,66,2009,5,8 - 8.5,8 - 8.5,
Canadian Hills (Mitsubishi),In Service,148.8,Calumet OK,Atlantic Power Corp,Apex Wind Energy,Oklahoma Municipal Power Authority / SWEPCO,Mitsubishi,62,2012,3,7.5 - 8,8 - 8.5,
Canadian Hills (Repower),In Service,149.65,Calumet OK,Atlantic Power Corp,Apex Wind Energy,Oklahoma Municipal Power Authority / SWEPCO,REpower,73,2012,4,7.5 - 8,8 - 8.5,
Caney River,In Service,199.8,Elk County KS,Enel Green Power North America Inc.,Tradewind Energy LLC,Tennessee Valley Authority,Vestas,111,2012,4,8 - 8.5,8 - 8.5,
Cannon (Various),In Service,4.54,Tehachapi CA,,NA,Southern California Edison Co,Micon Vestas,42,0,2,6.5 - 7,6.5 - 7,
Cannon I,In Service,0.86,Tehachapi CA,,NA,Southern California Edison Co,Micon,8,0,2,6.5 - 7,6.5 - 7,
Cannon II,In Service,12.6,Tehachapi CA,,,Southern California Edison Co,Vestas,28,0,2,6.5 - 7,6.5 - 7,
Canova,In Service,0.11,Near Carthage SD,City of Howard,City of Howard,City of Howard,Micon,1,2002,3,7.5 - 8,8 - 8.5,
Cape Cod Regional Transit Authority,In Service,0.1,Hyannis MA,Sustainable Energy Development,,Cape Cod Regional Transit Authority,Northern Power Systems,1,2010,3,6.5 - 7,7 - 7.5,
Capricorn Ridge (GE Energy),In Service,214.5,TX,NextEra Energy Resources,NextEra Energy Resources,,GE Energy,143,2007,3,7 - 7.5,7.5 - 8,
Capricorn Ridge (Siemens),In Service,149.5,TX,NextEra Energy Resources,NextEra Energy Resources,,Siemens,65,2007,3,7 - 7.5,7.5 - 8,
Capricorn Ridge Expansion (1Q08),In Service,142.5,TX,NextEra Energy Resources,NextEra Energy Resources,,GE Energy,95,2008,3,7 - 7.5,7.5 - 8,
Capricorn Ridge Expansion (2Q08),In Service,156,TX,NextEra Energy Resources,NextEra Energy Resources,,GE Energy,104,2008,3,7 - 7.5,7.5 - 8,
Caprock Wind Ranch,In Service,60,Quay County NM,Babcock & Brown,Cielo Wind Power,Xcel Energy,Mitsubishi,60,2004,3,7.5 - 8,8 - 8.5,
Caprock Wind Ranch phase II,In Service,20,Quay County NM,Babcock & Brown,Cielo Wind Power,Xcel Energy,Mitsubishi,20,2005,3,7.5 - 8,8 - 8.5,
Carleton College II,In Service,1.6,Northfield MN,Carleton College,Carleton College,Xcel Energy,GE Energy,1,2011,3,7 - 7.5,7.5 - 8,
Case Western University,In Service,0.1,Cleveland OH,Case Western University,,Case Western University,Northern Power Systems,1,2010,2,6 - 6.5,6 - 6.5,
Case Western University (Nordex),In Service,1,Euclid OH,Case Western University,Case Western University,Stamco Inc - excess to First Energy,Nordex (refurb),1,2012,3,6 - 6.5,6.5 - 7,
Case Western University (Vestas),In Service,0.225,Euclid OH,Case Western University,Case Western University,Sopko & Sons - excess to First Energy,Vestas (refurb),1,2012,3,6 - 6.5,6.5 - 7,
Cashton Greens,In Service,4.99,Cashton WI,Organic Valley Coooperative & Gundersen Lutheran,Organic Valley Coooperative & Gundersen Lutheran,Organic Valley Coooperative & Gundersen Lutheran,Clipper,2.5,2012,2,6 - 6.5,6.5 - 7,
Casper Wind Farm,In Service,16.5,Northeast of Evansville WY,,Chevron Global Power,PacifiCorp,GE Energy,11,2009,5,8 - 8.5,8 - 8.5,
Casselman Wind Project,In Service,34.5,Somerset County PA,Iberdrola Renewables,PPM Energy Inc,First Energy Corp.,GE Energy,23,2007,5,6 - 6.5,6.5 - 7,
Cassia Wind Farm,In Service,29.4,Twin Falls County ID,John Deere Wind,John Deere Wind,Idaho Power,Suzlon Energy Company,14,2009,3,6 - 6.5,6.5 - 7,
Cedar Creek,In Service,79.5,Weld County east of Grover CO,Babcock & Brown/BP America,Babcock & Brown/BP America,Xcel Energy,GE Energy,53,2007,4,7.5 - 8,8 - 8.5,
Cedar Creek,In Service,221,Weld County east of Grover CO,Babcock & Brown/BP America,Babcock & Brown/BP America,Xcel Energy,Mitsubishi,221,2007,4,7.5 - 8,8 - 8.5,
Cedar Creek II (GE),In Service,100.8,Weld County CO,BP Wind Energy,BP Wind Energy,Xcel Energy,GE Energy,63,2011,4,7.5 - 8,7.5 - 8,
Cedar Creek II (Nordex),In Service,150,Weld County CO,BP Wind Energy,BP Wind Energy,Xcel Energy,Nordex,60,2011,4,7.5 - 8,7.5 - 8,
Cedar Hills Wind Facility,In Service,19.5,Cedar Hills west of Rhame ND,MDU Utilities,MDU Utilities,MDU Utilities,GE Energy,13,2010,4,8 - 8.5,8 - 8.5,
Cedar Point Wind Farm,In Service,250.2,Elbert CO,Enbridge Inc.,RES Americas,Xcel Energy,Vestas,139,2011,2,6.5 - 7,7 - 7.5,
Cedar Ridge Wind Farm,In Service,67.65,Fond du Lac County WI,Alliant (Wisconsin Power & Light),Midwest Wind Energy/Alliant (Wisconsin Power & Light),Alliant (Wisconsin Power & Light),Vestas,41,2008,3,7 - 7.5,7.5 - 8,
Cedro Hill,In Service,150,Located in Bruni TX,Edison Mission Energy,DKRW Wind LLC,,GE Energy,100,2010,2,7.5 - 8,7.5 - 8,
Cemex Black Mountain Quarry,In Service,3,Apple Valley CA,Foundation Windpower,Foundation Windpower,Cemex Black Mountain Quarry,GE Energy,2,2012,3,5.5 - 6,5.5 - 6,
Cemex Madison,In Service,1.5,Madison CA,Foundation Windpower,Foundation Windpower,Cemex Madison Aggregate Facility,GE Energy,1,2012,2,5 - 5.5,5 - 5.5,
Cemex River Plant,In Service,3.2,Victorville CA,Foundation Windpower,Foundation Windpower,Cemex River Plant,GE Energy,2,2012,1,5 - 5.5,5 - 5.5,
Centennial Wind Energy Project (2006),In Service,60,Northwest of Fort Supply OK,Invenergy,Chermac Energy/Invenergy,Oklahoma Gas & Electric,GE Energy,40,2006,4,7.5 - 8,8 - 8.5,
Centennial Wind Energy Project (2007),In Service,60,Northwest of Fort Supply OK,Invenergy,Chermac Energy/Invenergy,Oklahoma Gas & Electric,GE Energy,40,2007,4,7.5 - 8,8 - 8.5,
Central Plains,In Service,99,KS,RES Americas,RES Americas,Westar Energy,Vestas,33,2009,5,8 - 8.5,8.5 - 9,
Century Expansion (08),In Service,10.5,IA,MidAmerican Energy,MidAmerican Energy,MidAmerican Energy,GE Energy,7,2008,4,7.5 - 8,8 - 8.5,
Century Expansion (4Q07),In Service,3,IA,MidAmerican Energy,MidAmerican Energy,MidAmerican Energy,GE Energy,2,2007,4,7.5 - 8,8 - 8.5,
Century Wind Project,In Service,150,Wright and Hamilton Counties IA,MidAmerican Energy,EnXco,MidAmerican Energy,GE Energy,100,2005,4,7.5 - 8,8 - 8.5,
Century Wind Project Expansion,In Service,35,Wright and Hamilton Counties IA,MidAmerican Energy,EnXco,MidAmerican Energy,Mitsubishi,35,2005,4,7.5 - 8,8 - 8.5,
Cerro Gordo,In Service,41.25,Clear Lake IA,NextEra Energy Resources,NextEra Energy Resources,Alliant/IES Utilities,NEG Micon,55,1999,4,7.5 - 8,8 - 8.5,
Chamberlain Wind Project,In Service,2.6,Chamberlain SD,Basin Electric,Crown Butte Wind Power,Basin Electric/East River Coop,Nordex,2,2001,3,7 - 7.5,7.5 - 8,
Champepaden,In Service,1.98,Near Chandler MN,Great River Energy,EnXco,Great River Energy,Vestas,3,2001,5,8.5 - 9,8.5 - 9,
Champion (Roscoe II),In Service,126.5,Roscoe TX,E.On Climate & Renewables,E.On Climate & Renewables,Market,Siemens,55,2008,3,8 - 8.5,8.5 - 9,
Chanarambie,In Service,85.5,Murray County MN,EnXco has part ownership,EnXco,Xcel Energy,GE Wind,57,2003,5,8.5 - 9,8.5 - 9,
Chandler Hills Wind Farm,In Service,1.98,Chandler Murray County MN,Terra-Gen Power,,Great River Energy,Vestas,3,1998,5,8.5 - 9,8.5 - 9,
Charles City (1Q08),In Service,57,Charles City IA,MidAmerican Energy,MidAmerican Energy,MidAmerican Energy,GE Energy,38,2008,4,7.5 - 8,7.5 - 8,
Charles City (2Q08),In Service,18,Charles City IA,MidAmerican Energy,MidAmerican Energy,MidAmerican Energy,GE Energy,12,2008,3,7 - 7.5,7.5 - 8,
Chestnut Flats Wind Farm,In Service,38,Logan Township PA,EnXco,Gamesa Energy,Delmarva Power,Gamesa,19,2011,4,6 - 6.5,6 - 6.5,
Chisolm View,In Service,235.2,Hunter OK,GE Energy Financial Service / Enel Green Power North America,TradeWind Energy,Alabama Power Company,GE Energy,140,2012,3,7.5 - 8,8 - 8.5,
Cimarron I,In Service,165.6,Cimarron KS,CPV Renewable Energy,CPV Renewable Energy,Tennessee Valley Authority,Siemens,72,2012,5,8.5 - 9,9 - 9.5,
Cimarron II,In Service,131.1,Cimarron KS,Duke Energy Carolinas LLC,CPV Renewable Energy,Kansas City Power & Light,Siemens,57,2012,5,8.5 - 9,9 - 9.5,
Cirrus 1,In Service,61.2,Tahoka TX,Cirrus Wind Energy,Wind Tex Energy,Merchant,China Creative Wind Energy,17,2012,3,8 - 8.5,8 - 8.5,
Cisco Wind Energy,In Service,8.4,Brewster MN,John Deere Wind Energy,Community,Northern States Power,Suzlon Energy Company,4,2008,4,8 - 8.5,8.5 - 9,
City of Geneseo,In Service,3,Geneseo IL,City of Geneseo,Johnson Controls / City of Geneseo,,Vensys,2,2009,2,7 - 7.5,7 - 7.5,
City of Medford Wind Turbine,In Service,0.1,Medford MA,City of Medford,Sustainable Energy Developments,City of Medford,Northern Power Systems,1,2009,2,5 - 5.5,5.5 - 6,
Clarion-Goldfield School,In Service,0.05,Wright County IA,Clarion-Goldfield High School,Clarion-Goldfield High School,Clarion-Goldfield High School,AOC,1,2002,4,7.5 - 8,8 - 8.5,
Clay Central/Everly School Dist,In Service,0.1,IA,Clay Central/Everly School District,,Clay Central/Everly School District,,1,2006,4,8 - 8.5,8.5 - 9,
Coastal Energy (CCAP),In Service,6,Grayland,Coastal Community Action Program,Coastal Energy LLC,Bonneville Power Admin,GE Energy,4,2010,4,6 - 6.5,6.5 - 7,
Colebrook South,Under Construction,4.8,Colebrook CT,BNE Energy,BNE Energy,,GE Energy,3,0,2,5.5 - 6,5.5 - 6,
Colorado Green,In Service,162,Prowers County CO,Iberdrola Renewables/Shell WindEnergy,,Xcel Energy,GE Energy,108,2003,4,8 - 8.5,8.5 - 9,
Colorado Highlands,In Service,67.2,Haxtun CO,Alliance Power Inc,Alliance Power Inc,Tri-State Generation & Transmission Assoc.,GE Energy,35,2012,4,7.5 - 8,8 - 8.5,
Combine Hills II,In Service,63,Near Milton-Freewater OR,Eurus,Eurus,Clark County PUD,Mitsubishi,63,2009,5,6.5 - 7,7 - 7.5,
Combine Hills,In Service,41,Near Umapine OR,Babcock & Brown/Eurus,Eurus,PacifiCorp,Mitsubishi,41,2003,4,7 - 7.5,7 - 7.5,
Cross Winds,In Service,21,Palo Alto County IA,Community Wind/Edison Mission Group,Community Wind/Edison Mission Group,,Suzlon Energy Company,10,2007,5,8 - 8.5,8 - 8.5,
Community Wind North,In Service,30,Lake Benton MN,Edison Mission Group,Southwest Wind Consulting / Community Energy Developers Board / Lincoln County Enterprise Development,Xcel Energy,Clipper,12,2011,5,8.5 - 9,8.5 - 9,
Community Wind South,In Service,30.75,Rushmore MN,Juwi Wind,Juwi Wind,Xcel Energy,REpower,15,2012,4,8 - 8.5,8.5 - 9,
Community-Owned Projects,In Service,8.75,Buffalo Ridge MN,Dave Norgaard et al/John Deere Wind Energy,Dave Norgaard et al/John Deere Wind Energy,Xcel Energy,Suzlon Energy Company,7,2006,5,8 - 8.5,8.5 - 9,
EcoGrove,In Service,100.5,Stephenson County IL,Acciona,Acciona,,Acciona,67,2009,3,6.5 - 7,7 - 7.5,
Conception Wind Project,In Service,50.4,Nodaway County MO,Wind Capital Group/John Deere Capital,Wind Capital Group/John Deere Capital,Associated Electric Cooperative,Suzlon Energy Company,24,2008,3,7 - 7.5,7.5 - 8,
Condon Wind Project,In Service,24.6,Gilliam County OR,,SeaWest,Bonneville Power Admin,Mitsubishi,41,2001,3,6 - 6.5,6 - 6.5,
Condon Wind Project phase II,In Service,25.2,Gilliam County OR,,SeaWest,Bonneville Power Admin,Mitsubishi,42,2002,3,5.5 - 6,6 - 6.5,
Conneaut Middle School Wind Turbine,In Service,0.6,Conneaut OH,Conneaut Middle School,NexGen Energy Partners,Conneaut Middle School,Elecon,1,2010,2,6 - 6.5,6 - 6.5,
Conneaut Wastewater Facility Wind Turbine,In Service,0.4,Conneaut OH,Conneaut Wastewater Facility,NexGen Energy Partners,Conneaut Wastewater Facility,,1,2010,4,6.5 - 7,6.5 - 7,
Consumers 2,In Service,0.07,Marshalltown IA,,Consumers Energy,Consumers Energy,Nordtank 65,1,2004,3,6.5 - 7,7 - 7.5,
Cooper Farms,In Service,4.5,Van Wert OH,V.H. Cooper and Co Inc,One Energy LLC,Cooper Farms,Goldwind,3,2012,2,6 - 6.5,6.5 - 7,
Coram Energy (Aeroman repower),In Service,10.5,Tehachapi CA,Coram Energy,Coram Energy,Southern California Edison Co,GE Energy,7,2005,7,9.5 - 10,9.5 - 10,
Coram Energy (Aeroman repower),In Service,4.5,Tehachapi CA,Coram Energy,Coram Energy,Southern California Edison Co,GE Energy,3,2004,7,9.5 - 10,9.5 - 10,
Corn Plus,In Service,4.2,MN,John Deere Wind,John Deere Wind,N/a,Suzlon Energy Company,2,2008,3,7 - 7.5,7.5 - 8,
Cottonwood,In Service,15,MN,,Farmer cooperative,Alliant Energy,Suzlon Energy Company,12,2005,3,7.5 - 8,8 - 8.5,
Cow Branch Wind Energy Center,In Service,50.4,Atchison County MO,Wind Capital Group/John Deere Capital,Wind Capital Group/John Deere Capital,Associated Electric Cooperative,Suzlon Energy Company,24,2008,3,7 - 7.5,7.5 - 8,
Crane Creek,In Service,99,Northeast of Riceville IA,EnXco,EnXco,Wisconsin P ublic Service Group,GE Energy,66,2009,3,7.5 - 8,8 - 8.5,
Crescent Ridge,In Service,54.45,Bureau County IL,Babcock & Brown/Eurus,Midwest Wind Energy/Eurus,Exelon,Vestas,33,2005,4,7 - 7.5,7.5 - 8,
Criterion,In Service,70,Backbone Mountain,Constellation Energy,,Old Dominion Electric Cooperative,Clipper,28,2010,4,6 - 6.5,6.5 - 7,
Criterion Wind Park,In Service,70,Garrett County MD,Constellation Energy,Constellation Energy,Old Dominion,Clipper,28,2010,2,5.5 - 6,6 - 6.5,
Crofton Bluffs,In Service,40,Crofton NE,Edison Mission Group,Edison Mission Group,NPPD / OPPD / Municipal Energy Agency of Nebraska / Lincoln Electric System,Vestas,0,2012,5,8.5 - 9,9 - 9.5,
Crofton Hills,In Service,42,South of Crofton NE,Crofton Hills Wind,Juhl Wind,NPPD,Vestas,14,2010,4,8 - 8.5,8.5 - 9,
Crookston,In Service,0.08,Crookston MN,Phoenix Industries,Phoenix Industries,Otter Tail Power Co.,NA,1,1987,3,6.5 - 7,7 - 7.5,
Crossroads (2.3 MW),In Service,218.5,Near Canton OK,Oklahoma Gas & Electric,Renewable Energy Systems Ltd,Oklahoma Gas & Electric,Siemens,95,2011,4,8 - 8.5,8 - 8.5,
Crossroads (3 MW),In Service,9,Near Canton OK,Oklahoma Gas & Electric,Renewable Energy Systems Ltd,Oklahoma Gas & Electric,Siemens,3,2011,3,7.5 - 8,8 - 8.5,
Crossroads Expansion,In Service,32,,Oklahoma Gas & Electric,RES Americas,Oklahoma Gas & Electric,Siemens,0,2012,3,7.5 - 8,8 - 8.5,
Crow Lake Wind,In Service,162,White Lake SD,Prairie Winds SD 1 Inc. (100) Mitchell Technical Institute (1) South Dakota Wind Partners (7),Prairie Winds SD 1 Inc.,Basin Electric Power Cooperative,GE Energy,108,2011,6,7.5 - 8,8 - 8.5,
Crystal Lake - Clipper (08),In Service,190,IA,NextEra Energy Resources,NextEra Energy Resources,,Clipper,76,2008,4,7.5 - 8,8 - 8.5,
Crystal Lake - Clipper (09),In Service,10,IA,NextEra Energy Resources,NextEra Energy Resources,,Clipper,4,0,4,7 - 7.5,7.5 - 8,
Crystal Lake - GE Energy,In Service,150,IA,NextEra Energy Resources,NextEra Energy Resources,,GE Energy,100,2008,4,7.5 - 8,8 - 8.5,
Crystal Lake II,In Service,200,Hancock/Winnebago Counties IA,NextEra Energy Resources,NextEra Energy Resources,,Clipper,80,2009,4,7.5 - 8,8 - 8.5,
Crystal Lake III,In Service,66,Hancock/Winnebago Counties IA,NextEra Energy Resources,NextEra Energy Resources,,GE Energy,44,2009,4,7.5 - 8,8 - 8.5,
Cumberland Rose,In Service,1.6,Orient IA,Cumberland Rose Wind Energy LLC (community owned),,City of Fontanelle - excess to Central Iowa Power Coopeative,GE Energy,1,2012,4,8 - 8.5,8 - 8.5,
Danielson Wind,In Service,19.8,Near Atwater in Meeker County MN,,Juhl Wind,Xcel Energy,Alstom,12,2011,4,7 - 7.5,7.5 - 8,
Day County Wind Project,In Service,99,East of Groton SD,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,GE Energy,66,2010,4,8 - 8.5,8.5 - 9,
Delaware Mountain,In Service,28.5,Culberson County TX,NextEra Energy Resources,American National Wind Power/Orion Energy,Lower Colorado River Authority,Zond,38,1999,6,8 - 8.5,8.5 - 9,
Desert Sky Wind Farm,In Service,160.5,Pecos County TX,American Electric Power Co. Inc.,GE Energy,City of San Antonio Texas (Utility Company),GE Energy,107,2001,4,8 - 8.5,8.5 - 9,
Desert Wind Power,Proposed,300,Pasquotank and Perquimans Counties NC,,Iberdrola Renewables,,,150,0,1,5 - 5.5,5.5 - 6,
Diablo Winds Wind Farm,In Service,20.46,Altamont Pass CA,NextEra Energy Resources,NextEra Energy Resources,Pacific Gas & Electric Co,Vestas,31,2004,4,6.5 - 7,6.5 - 7,
Diamond Willow Extension,In Service,10.5,Near Baker MT,Montana-Dakota Utilities,Montana-Dakota Utilities,Montana-Dakota Utilities,GE Energy,7,2010,5,8.5 - 9,8.5 - 9,
Diamond Willow Wind (07),In Service,1.5,Near Baker MT,Montana-Dakota Utilities,Montana-Dakota Utilities,Montana-Dakota Utilities,GE Energy,1,2007,4,7.5 - 8,8 - 8.5,
Diamond Willow Wind (08),In Service,18,Near Baker MT,Montana-Dakota Utilities,Montana-Dakota Utilities,Montana-Dakota Utilities,GE Energy,12,2008,4,8 - 8.5,8.5 - 9,
Difwind I,In Service,12.42,San Gorgonio CA,EnXco,,Southern California Edison Co,Micon,115,0,4,8 - 8.5,8 - 8.5,
Difwind II,In Service,2.54,San Gorgonio CA,EnXco,,Southern California Edison Co,Micon,39,0,4,8 - 8.5,8 - 8.5,
Sentral School,In Service,0.07,Fenton IA,,,,Windmatic,1,1995,4,7.5 - 8,8 - 8.5,
Difwind V,In Service,7.88,San Gorgonio CA,EnXco,Seawest,Southern California Edison Co,Micon,73,0,4,8 - 8.5,8 - 8.5,
Dillon,In Service,45,Palm Springs CA,Iberdrola Renewables,Iberdrola Renewables,Southern California Edison Co,Mitsubishi,45,2008,7,8.5 - 9,8.5 - 9,
Dispersed Project,In Service,5.94,Lincoln County MN,,Northern Alternative Energy,Xcel Energy,Vestas,9,2000,5,8.5 - 9,8.5 - 9,
Don Sneve Wind Project,In Service,0.95,Hendricks in Lincoln County MN,Sneve Wind Farms- LLC,Diversified Energy Solutions,Alliant,NEG Micon,1,2003,5,8.5 - 9,8.5 - 9,
Dry Lake II,In Service,65.1,Northwest of Snowflake AZ,Iberdrola Renewables,Iberdrola Renewables,Salt River Project,Suzlon Energy Company,31,2010,2,5.5 - 6,5.5 - 6,
Dry Lake,In Service,63,Navajo County AZ,Iberdrola Renewables,Iberdrola Renewables,Iberdrola Renewables,Suzlon Energy Company,30,2009,2,5.5 - 6,5.5 - 6,
Dunlap Wind Energy Project,In Service,111,North of Medicine Bow in Carbon County WY,PacifiCorp,PacifiCorp,,GE Energy,74,2010,5,8 - 8.5,8.5 - 9,
Dutch Hill/Cohocton Wind Farm,In Service,125,Steuben County NY,First Wind,First Wind,Market,Clipper,50,2008,2,5 - 5.5,5.5 - 6,
Dutch Pacific,In Service,10,San Gorgonio CA,Dutch Pacific- LLC,Dutch Pacific- LLC,Southern California Edison Co,NedWind,20,1994,4,8 - 8.5,8 - 8.5,
Dynapower,In Service,0.1,South Burlington VT,Dynapower,,Dynapower,Northern Power Systems,1,2010,2,5.5 - 6,5.5 - 6,
