Facility,Status,Capacity (MW),Location,Owner,Developer,Energy Purchaser,Turbine Mfg.,No. of Turbines,Commercial Online Date,Wind Power Class,Wind Speed Range - 80m,Wind Speed Range - 100m,Offshore Wind Speed Range - 90m
Quinhagak,In Service,0.3,Quinhagek AK,Quinhagak,,Quinhagak,Northern Power Systems,3,2010,3,,,
Saint Paul Island,In Service,0.23,St. Paul Island AK,Tanadgusix Corp.,Tanadgusix Corp.,Tanadgusix Corp.,Vestas,1,1999,6,,,
Santa Isabel,In Service,75,Santa Isabel Puerto Rico,Pattern Energy,Pattern Energy,Puerto Rico Electric Power Authority (PREPA),Siemens,33,2012,1,,,
Savoonga,In Service,0.2,Savoonga AK,Alaska Village Electric Cooperative (AVEC),Alaska Village Electric Cooperative (AVEC),Alaska Village Electric Cooperative (AVEC),DES,2,2008,4,,,
Selawik Wind Project,In Service,0.15,Selawik AK,Alaska Village Electric Coop,Kotzebue Electric Assn Inc,Alaska Village Electric Coop,Atlantic Orient Co.,3,2004,1,,,
Tin City Long Range Radar Station,In Service,0.23,Nome AK,Tin City Long Range Radar Station,Tanadgusix Corp.,Tin City Long Range Radar Station,Vestas,1,2008,6,,,
Unalakleet,In Service,0.4,Unalakleet AK,Unalakleet Valley Electric Cooperative,STG Inc.,Unalakleet,Northern Power Systems,4,2009,3,,,
Wales Wind Energy Project,In Service,0.1,Wales AK,Alaska Village Electric Coop,Kotzebue Electric Assoc.,Alaska Village Electric Coop,Atlantic Orient Co.,2,2000,6,,,
Phoenix Press,In Service,0.1,New Haven CT,Phoenix Press,,Phoenix Press,Northern Power Systems,1,2010,2,5.5 - 6,,
Appalachian State,In Service,0.1,Boone NC,,,,Northern Power Systems,1,2009,2,5.5 - 6,5.5 - 6,
Bitworks,In Service,0.1,Washington County AR,Bitworks Inc.,Bitworks Inc.,Bitworks Inc.,NEG Micon,1,2003,2,6 - 6.5,6.5 - 7,
Chateau Tebeau LLC,In Service,0.33,Helena OH,SUREnergy,,,,1,2010,2,6 - 6.5,6.5 - 7,
DH Blattner,In Service,0.1,Avon MN,,,,Northern Power Systems,1,2009,3,6.5 - 7,7 - 7.5,
Elbow Creek Wind Farm,In Service,121.9,Howard County TX,Padoma,Padoma,,Siemens,53,2008,4,8 - 8.5,8.5 - 9,
Hull,In Service,0.66,Hull MA,Hull Municipal Light Department,Hull Municipal Light Department,Hull Municipal Light Department,Vestas,1,2001,3,,6.5 - 7,
Hull II,In Service,1.8,Hull MA,Hull Municipal Light Department,Hull Municipal Light Department,Hull Municipal Light Department,Vestas,1,2006,3,,6.5 - 7,
Musselshell II,In Service,10,Ryegate MT,Goldwind,Volkswind USA,NorthWestern Energy,Goldwind,7,2012,4,6 - 6.5,6 - 6.5,
Penascal II,In Service,201.6,Kenedy County TX,,Iberdrola Renewables,,Mitsubishi,84,2010,2,7 - 7.5,7.5 - 8,
We Energy Wind Farm,In Service,1.32,South of Fond du Lac WI,,,WE Energies,Vestas,2,1999,3,7 - 7.5,7.5 - 8,
Wind Vision,In Service,0.9,St. Ansgar IA,Wind Vision,Wind Vision,,AWE,1,2008,4,7 - 7.5,7.5 - 8,
3-D Metals,In Service,0.1,Valley City OH,,,,Northern Power Systems,1,2009,2,5.5 - 6,6 - 6.5,
AB Tehachapi,In Service,6.97,Tehachapi CA,Coram Energy,AB Energy,Southern California Edison Co,Vestas,31,1992,7,8.5 - 9,9 - 9.5,
AFCEE MMR Turbines,In Service,3,Camp Edwards Sandwich MA,AFCEE,Air Force Center for Engineering and the Environment,Distributed generation - net metered,GE Energy,2,2011,3,6 - 6.5,6.5 - 7,
AG Land 1,In Service,1.6,Story County IA,AG Land Energy LLC,AG Land Energy LLC,Alliant Energy,GE Energy,1,2012,4,7 - 7.5,7.5 - 8,
AG Land 2,In Service,1.6,Story County IA,AG Land Energy LLC,AG Land Energy LLC,Alliant Energy,GE Energy,1,2012,4,7 - 7.5,7 - 7.5,
AG Land 3,In Service,1.6,Story County IA,AG Land Energy LLC,AG Land Energy LLC,Alliant Energy,GE Energy,1,2012,4,7 - 7.5,7.5 - 8,
AG Land 4,In Service,1.6,Story County IA,AG Land Energy LLC,AG Land Energy LLC,Alliant Energy,GE Energy,1,2012,4,7.5 - 8,8 - 8.5,
AG Land 5,In Service,1.6,Hamilton County IA,AG Land Energy LLC,Enervation LLC,Alliant Energy,GE Energy,1,2012,4,7 - 7.5,7.5 - 8,
AG Land 6,In Service,1.6,Hamilton County IA,AG Land Energy LLC,Enervation LLC,Alliant Energy,GE Energy,1,2012,4,7 - 7.5,7.5 - 8,
Adair,In Service,0.23,IA,Shafer Systems,MidAmerican Energy,Alliant/IES Utilities,Vestas,1,1994,4,8 - 8.5,8 - 8.5,
Adair,In Service,174.8,IA,MidAmerican Energy,MidAmerican Energy,MidAmerican Energy,Siemens,230,2008,4,8 - 8.5,8 - 8.5,
Adams Wind Project,In Service,19.8,Meeker County MN,,Juhl Wind,,Alstom,12,2011,4,8 - 8.5,8 - 8.5,
Aero Turbine,In Service,5,Riverside County CA,AeroTurbine Energy Company,,,,39,1989,4,6.5 - 7,6.5 - 7,
Aeroman repower (2003),In Service,3,Tehachapi CA,Coram Energy,Coram Energy,Southern California Edison Co,GE Energy,2,2003,7,8.5 - 9,8.5 - 9,
Affinity,Under Construction,150,Pittsfield Illinois,Affinity Wind LLC,Affinity Wind LLC,,Suzlon Energy Company,75,2012,3,6 - 6.5,6.5 - 7,
Agassiz Beach,In Service,1.98,Clay County MN,NAE/Enel North America,Northern Alternative Energy,Xcel Energy,Vestas,3,2001,3,7 - 7.5,7.5 - 8,
Ashtabula III,In Service,62.4,Barnes County ND,,NextEra Energy Resources,,GE Energy,39,2010,5,8 - 8.5,8.5 - 9,
Agriwind,In Service,8.4,IL,John Deere Wind,John Deere Wind,Wabash Valley Power Association,Suzlon Energy Company,4,2008,4,7 - 7.5,7.5 - 8,
Ainsworth Wind Energy Facility,In Service,59.4,Ainsworth NE,Nebraska Public Power District and consortium of public utilities,Nebraska Public Power District and consortium of public utilities,Nebraska Public Power District and consortium of public utilities,Vestas,36,2005,5,8.5 - 9,8.5 - 9,
Airforce,In Service,2,WY,Airforce,Airforce,,Gamesa,1,2009,4,8 - 8.5,8 - 8.5,
Akron-Westfield School District,In Service,0.6,Akron-Westfield IA,Akron-Westfield Comm. Schools,,Alliant/IES Utilities,Vestas,1,1999,4,7.5 - 8,8 - 8.5,
Alite Wind Farm,In Service,24,Mojave CA,Terra-Gen Power,Allco/Oak Creek Energy,California Portland Cement,Vestas,8,2008,6,8 - 8.5,8.5 - 9,
Allegheny Ridge wind farm,In Service,80,Cambria and Blair Counties PA,GE Energy,Gamesa,First Energy Corp.,Gamesa,40,2007,4,5.5 - 6,6 - 6.5,
Alta I,In Service,150,Tehachapi Pass CA,Terra-Gen Power,Terra-Gen Power,Southern California Edison Co,GE Energy,100,2010,5,7.5 - 8,7.5 - 8,
Alta II (Vestas),In Service,150,Tehachapi Pass CA,Terra-Gen Power,Terra-Gen Power,Southern California Edison Co,Vestas,50,2010,5,7.5 - 8,7.5 - 8,
Alta III,In Service,150,Tehachapi Pass CA,Terra-Gen Power,Terra-Gen Power,Southern California Edison Co,Vestas,50,2011,5,7.5 - 8,7.5 - 8,
Alta IV,In Service,102,Tehachapi Pass CA,Terra-Gen Power,Terra-Gen Power,Southern California Edison Co,Vestas,34,2011,5,7.5 - 8,7.5 - 8,
Alta Mesa I,In Service,18.72,San Gorgonio CA,SeaWest,SeaWest,Southern California Edison Co,Danwin,117,0,4,8 - 8.5,8 - 8.5,
Alta Mesa II,In Service,9.45,San Gorgonio CA,SeaWest,SeaWest,Southern California Edison Co,Vestas,42,0,4,8 - 8.5,8 - 8.5,
Alta V,In Service,168,Tehachapi Pass CA,Terra-Gen Power,Terra-Gen Power,Southern California Edison Co,Vestas,56,2011,5,7.5 - 8,7.5 - 8,
Altech Energy Ltd,In Service,5.76,Altamont Pass CA,SeaWest,SeaWest,Pacific Gas & Electric Co,Enertech,144,0,4,6.5 - 7,6.5 - 7,
Altech III,In Service,3.31,San Gorgonio CA,SeaWest,SeaWest,Southern California Edison Co,NEG Micon,51,0,4,8 - 8.5,8 - 8.5,
Altech III,In Service,21.71,San Gorgonio CA,SeaWest,SeaWest,Southern California Edison Co,NEG Micon,201,0,4,8 - 8.5,8 - 8.5,
American Windmill Museum,In Service,0.66,Lubbock TX,American Wind Power Center,American Wind Power Center,American Windmill Museum,Vestas,1,2005,3,7 - 7.5,7.5 - 8,
Anacacho,In Service,99,West of Uvalde Texas,E.On Climate & Renewables,E.On Climate & Renewables,Undisclosed PPA,Vestas,55,2012,2,6 - 6.5,6.5 - 7,
Anheuser-Busch Fairfield,In Service,1.5,Fairfield CA,Foundation Windpower,Foundation Windpower,Anheuser-Busch,GE Energy,1,2011,2,6 - 6.5,6 - 6.5,
Antelope Ridge Wind Farm,Proposed,300,Union County OR,Horizon Wind Energy,Horizon Wind Energy,,Undetermined,164,0,3,6.5 - 7,6.5 - 7,
Applied Materials,In Service,2.5,Gloucester MA,Applied Materials,Applied Materials,Applied Materials,Kenersys,1,2012,3,6.5 - 7,7 - 7.5,
Aragonne Mesa,In Service,90,Guadalupe County NM,GE Energy,Babcock & Brown,Arizona Public Service,Mitsubishi,90,2006,4,8.5 - 9,8.5 - 9,
Archbold Local Schools Wind Turbine,In Service,0.75,Archbold OH,Archbold Area Local Schools District,Archbold Area Local Schools District,Archbold Area Local Schools District,Aeronautica,1,2012,2,6 - 6.5,6 - 6.5,
Armenia Mountain Wind Energy Project,In Service,101,Tioga and Bradford Counties PA,AES Armenia Mountain Wind,AES,Old Dominion Electric,GE Energy,67,2010,3,6 - 6.5,6.5 - 7,
Arnold Wind Farm,In Service,1.65,Wilmont MN,,David Arnold,,Vestas,1,2005,4,8.5 - 9,8.5 - 9,
Ashtabula - NextEra,In Service,148.5,Northeastern Barnes County- ND ND,NextEra Energy Resources,NextEra Energy Resources,,GE Energy,99,2008,5,8 - 8.5,8 - 8.5,
Ashtabula - Otter Tail,In Service,48,Northeastern Barnes County- ND ND,Otter Tail Power Co.,NextEra Energy Resources,Otter Tail Power Co.,GE Energy,32,2008,5,8 - 8.5,8 - 8.5,
Ashtabula II,In Service,120,Griggs & Steele Counties ND,NextEra Energy Resources,NextEra Energy Resources,Minnkota Power Cooperative,GE Energy,80,2009,5,8 - 8.5,8 - 8.5,
