Department,Name
OTHER,Federal Correctional Complex
DOD,Arcadia Lake
DOD,Arkabutla Lake
DOD,Atwood Lake
DOD,Clarence J. Brown Reservoir
DOD,B. Everett Jordan Lake
DOD,Bardwell Lake
DOD,Bay Springs Lake
FWS,Sachuest Point National Wildlife Refuge
DOD,Big Sandy Lake
DOD,Blue Mountain Lake
DOD,Bowman Haley Lake
DOD,Umatilla Chemical Depot (Closed)
DOD,Caddo Lake
DOD,Longhorn Ordnance Army Ammo Plant
DOD,Birch Lake
DOD,Black Butte Lake
DOD,Blanchard Lake
DOD,Blue Marsh Lake
DOD,Burr Oak Lake
FWS,Creedman Coulee National Wildlife Refuge
DOD,Bluestone Lake
DOD,Bonnett Carre Spillway
FWS,Butte Sink Wildlife Management Area
FWS,Grasslands Wildlife Management Area
DOD,Broken Bow Lake
DOD,Brookville Lake
DOD,Buckhorn Lake
DOD,Bull Shoals Lake
DOD,Burnsville Lake
DOD,Cagles Mill Lake
BLM,Willow Creek Wilderness Study Area
DOD,Candy Lake
DOD,Canton Lake
DOD,Camp Atterbury Millaty Reservation
FWS,Willow Creek-Lurline Wildlife Management Area
DOD,Dorena Lake
DOD,Los Alamitos Armed Forces Reserve Center
DOD,Louisiana Ordnance Plant
DOD,Canyon Lake
DOD,Carlyle Lake
DOD,Carr Fork Lake
DOD,Camp Bonneville Military Reservation (Closed)
DOD,Carters Lake
BLM,Willow Creek Wilderness Study Area
DOD,Cave Run Lake
DOD,Cecil M. Hardin Lake
DOD,Center Hill Lake
DOD,Charles Mill Lake
DOD,Cheatham Lake
DOD,Dillon Lake
DOD,Clearwater Lake
DOD,Clendening Lake
DOD,Clinton Lake
DOD,Coffeeville Lake
DOD,Colebrook River Lake
DOD,Columbus Lake
DOD,Conchas Lake
DOD,Conchiti Lake
BLM,Worthington Mountains Wilderness Study Area
DOD,Dewey Lake
FS,Pioneer Mothers Memorial Forest
DOD,Conemaugh River Lake
DOD,Copan Lake
DOD,Coralville Reservoir
DOD,Dexter Reservoir
DOD,Dierks Reservoir
FS,Pisgah National Forest
FS,Prescott National Forest
DOD,Cordell Hull Lake
DOD,Cottage Grove Lake
DOD,Cougar Reservoir
DOD,Council Grove Lake
DOD,Crooked Creek Lake
DOD,DeGray Lake
FWS,Medicine Lake Wilderness
DOD,Cross Lake
DOD,Curwensville Lake
DOD,Dale Hollow Reservoir
BLM,Woodhawk Wilderness Study Area
DOD,DeQueen Reservoir
DOD,Detroit Lake
DOD,Fort Supply Lake
DOD,Dardanelle Lake
FS,Rough Hills Wilderness Study Area
DOD,Deer Creek Lake
DOD,Tustin Marine Corps Air Station (Closed)
DOD,East Branch Clarion River Lake
DOD,East Lynn Lake
DOD,El Dorado Lake
DOD,Elk City Lake
BOR,Silver Jack Reservoir
DOD,Enid Lake
DOD,Eufaula Lake
FS,Rio Grande National Forest
DOD,Dworshak Reservoir
FS,Middle Fork Judith Wilderness Study Area
FS,La Madre Mountains Wilderness Study Area
DOD,Fall Creek Reservoir
DOD,Fall River Lake
DOD,Falls Lake Reservoir
DOD,Fern Ridge Lake
DOD,Makua Military Reservation
DOD,Malabar Transmitter Annex
DOD,Mead Army National Guard Facility
DOD,Fishtrap Lake
DOD,Fort Gibson Lake
DOD,Fort Peck Lake
DOD,Foster Lake
DOD,Gillham Lake
BOR,Twin Lakes Reservoir
DOD,Grapevine Lake
DOD,Grayson Lake
DOD,Green Peter Lake
FWS,Sipsey Wilderness
FS,Ten Lakes Wilderness Study Area
DOD,Mansfield Hollow Lake
DOD,Fort A. P. Hill Military Reservation
NPS,Tonto National Monument
DOD,Greers Ferry Lake
DOD,John W. Flanagan Reservoir
OTHER,Petersburg Federal Correctional Institution
DOD,Grenada Lake
DOD,Gull Lake
DOD,Harlan County Lake
DOD,Harry S. Truman Reservoir
DOD,Hartwell Lake
DOD,Heyburn Lake
DOD,Hills Creek Lake
DOD,Homme Lake
DOD,Hopkinton Lake
DOD,Howard Hanson Reservoir
DOD,Kanopolis Lake
DOD,Marion Lake
DOD,Hugo Lake
DOD,Hulah Lake
DOD,Huntington Lake
FS,Morey Peak Wilderness Study Area
DOD,Letterkenny Army Depot
FS,Mount Graham Wilderness Study Area
FS,Sapphire Wilderness Study Area
DOD,Isabella Reservoir
DOD,Lac qui Parle
FWS,Lower Klamath National Wildlife Refuge
DOD,J. Percy Priest Lake
DOD,J. Strom Thurmond Lake
DOD,Jemez Canyon Reservoir
DOD,Jennings Randolph Lake
DOD,John H. Kerr Reservoir
DOD,John Martin Reservoir
DOD,John Redmond Reservoir
DOD,Kaw Lake
