Bus Name,Number of Lines,Total Capacity (kV)
Otter Tail Power Co,1,115
Great River Energy,1,115
Western Area Power Administration,1,115
Otter Tail Power Co,1,115
Otter Tail Power Co,1,115
Otter Tail Power Co,1,230
Cooperative Power,1,230
Otter Tail Power Co,1,230
Minnkota Power Coop,1,42
Western Area Power Administration,1,13
Western Area Power Administration,1,42
Western Area Power Administration,1,69
Western Area Power Administration,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,35
Otter Tail Power Co,1,35
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Capital Electric Coop Inc,1,42
MDU Resources Group Inc,1,42
MDU Resources Group Inc,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
East River Electric Power Coop Inc,1,69
MDU Resources Group Inc,1,42
MDU Resources Group Inc,1,42
MDU Resources Group Inc,1,42
MDU Resources Group Inc,1,42
MDU Resources Group Inc,1,42
Great River Energy,1,115
Otter Tail Power Co,1,42
Missouri River Energy Services,2,230
Central Power Electric Coop Inc,1,115
Otter Tail Power Co,1,42
Central Power Electric Coop Inc,1,115
Otter Tail Power Co,1,42
Otter Tail Power Co,1,230
Otter Tail Power Co,1,42
Central Power Electric Coop Inc,1,115
Otter Tail Power Co,1,42
Otter Tail Power Co,1,115
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,230
Otter Tail Power Co,1,230
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Otter Tail Power Co,1,42
Western Area Power Administration,1,69
Western Area Power Administration,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,35
East River Electric Power Coop Inc,1,69
MDU Resources Group Inc,1,42
MDU Resources Group Inc,1,69
Otter Tail Power Co,1,42
Black Hills Power Inc,1,69
Black Hills Power Inc,1,69
Black Hills Power Inc,1,69
Black Hills Power Inc,1,69
Tri-County,1,69
Undetermined Company,1,4
Black Hills Electric Coop Inc,1,69
Black Hills Power Inc,1,69
Black Hills Power Inc,1,69
Tri-County,1,69
Tri-County,1,69
Western Area Power Administration,1,230
Western Area Power Administration,1,230
Kerr-McGee,1,69
Undetermined Company,1,35
Black Hills Power Inc,1,230
Black Hills Power Inc,1,230
Black Hills Power Inc,1,230
Tri-County,1,69
Western Area Power Administration,1,115
Undetermined Company,1,35
PacifiCorp,1,230
PacifiCorp,1,230
Tri-County,1,230
Black Hills Power Inc,1,69
Black Hills Power Inc,1,69
Black Hills Power Inc,1,69
Black Hills Power Inc,1,69
Black Hills Power Inc,1,69
Black Hills Power Inc,1,69
Black Hills Power Inc,1,69
Lacreek Electric Association Inc,1,69
Western Area Power Administration,1,115
Lacreek Electric Association Inc,1,35
Nebraska Public Power District,1,115
Undetermined Company,1,115
Undetermined Company,1,115
Undetermined Company,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Nebraska Public Power District,1,35
Western Area Power Administration,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Tri State Generation & Transmission Association Inc,1,115
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
Nebraska Public Power District,1,345
Western Area Power Administration,1,35
Tri State Generation & Transmission Association Inc,1,345
Lacreek Electric Association Inc,1,69
Undetermined Company,1,35
Undetermined Company,1,69
Undetermined Company,1,35
Tri State Generation & Transmission Association Inc,1,345
Undetermined Company,1,35
Undetermined Company,1,4
Nebraska Public Power District,1,35
Nebraska Public Power District,1,35
Undetermined Company,1,69
Undetermined Company,1,35
Nebraska Public Power District,1,69
Nebraska Public Power District,1,69
Tri State Generation & Transmission Association Inc,1,345
Tri State Generation & Transmission Association Inc,1,345
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Western Area Power Administration,1,35
Western Area Power Administration,1,35
Western Area Power Administration,1,35
Nebraska Public Power District,1,69
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Lacreek Electric Association Inc,1,69
Undetermined Company,1,35
Undetermined Company,1,35
Niobrara Electric Association Inc,1,69
Undetermined Company,1,-99
Undetermined Company,2,-99
Undetermined Company,1,35
Tri State Generation & Transmission Association Inc,1,345
U S Bureau of Reclamation,1,69
Wheatland Rural Electric Association Inc,1,69
Basin Electric Power Coop,1,345
Trans Elect LLC,1,345
Undetermined Company,1,500
PacifiCorp,1,57
Wheatland Rural Electric Association Inc,1,69
Wyoming Municipal Power Agency,1,35
Wyoming Municipal Power Agency,1,35
U S Bureau of Reclamation,1,69
Undetermined Company,1,4
Western Area Power Administration,1,35
Western Area Power Administration,1,35
Western Area Power Administration,1,35
Western Area Power Administration,1,35
Western Area Power Administration,1,35
Wheatland Rural Electric Association Inc,1,69
Wheatland Rural Electric Association Inc,1,69
Wheatland Rural Electric Association Inc,1,69
Wheatland Rural Electric Association Inc,1,69
Western Area Power Administration,1,230
Tri State Generation & Transmission Association Inc,1,115
Western Area Power Administration,1,230
Nebraska Public Power District,1,230
Western Area Power Administration,1,115
PacifiCorp,1,115
Tri State Generation & Transmission Association Inc,1,115
Undetermined Company,1,35
Wyoming Municipal Power Agency,1,35
Public Service Co of Colorado,1,230
PacifiCorp,1,115
Western Area Power Administration,1,35
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Undetermined Company,1,69
Tri State Generation & Transmission Association Inc,1,115
Black Hills Power Inc,1,230
Western Area Power Administration,1,115
PacifiCorp,1,57
Western Area Power Administration,1,230
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,-99
Western Area Power Administration,1,230
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Nebraska Public Power District,1,115
U S Bureau of Reclamation,1,115
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Undetermined Company,1,4
Undetermined Company,1,500
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,4
Undetermined Company,1,4
Undetermined Company,1,4
Undetermined Company,1,4
Undetermined Company,1,4
Undetermined Company,1,4
Undetermined Company,1,4
Undetermined Company,1,35
Undetermined Company,1,35
Western Area Power Administration,1,115
Undetermined Company,1,500
Tri State Generation & Transmission Association Inc,1,345
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,69
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,500
Trans Elect LLC,1,345
Undetermined Company,1,69
Tri State Generation & Transmission Association Inc,1,115
PacifiCorp,1,57
PacifiCorp,1,57
PacifiCorp,1,57
Tri State Generation & Transmission Association Inc,1,345
Undetermined Company,1,500
Niobrara Electric Association Inc,1,69
Black Hills Power Inc,1,230
Public Service Co of Colorado,1,230
Tri State Generation & Transmission Association Inc,1,230
East River Electric Power Coop Inc,1,69
Western Area Power Administration,1,230
Western Area Power Administration,1,230
Northern States Power Co (Minnesota),1,115
Western Area Power Administration,1,230
Nebraska Public Power District,1,230
Nebraska Public Power District,1,230
Western Area Power Administration,1,230
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
Western Area Power Administration,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Western Area Power Administration,1,115
Northern States Power Co (Minnesota),1,345
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Nebraska Public Power District,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Undetermined Company,1,115
Tri State Generation & Transmission Association Inc,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Western Area Power Administration,2,230
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,2,230
Undetermined Company,1,4
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Tri State Generation & Transmission Association Inc,1,115
Undetermined Company,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Lacreek Electric Association Inc,1,69
Lacreek Electric Association Inc,1,69
Western Area Power Administration,1,115
Undetermined Company,1,115
Undetermined Company,1,115
Tri State Generation & Transmission Association Inc,1,115
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Undetermined Company,1,115
Lacreek Electric Association Inc,1,35
Lacreek Electric Association Inc,1,35
Lacreek Electric Association Inc,1,35
Undetermined Company,1,4
Tri State Generation & Transmission Association Inc,1,115
Western Area Power Administration,1,138
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Undetermined Company,1,115
Northern States Power Co (Minnesota),1,115
Northern States Power Co (Minnesota),1,115
NorthWestern Corp,1,35
East River Electric Power Coop Inc,1,69
U S Bureau of Reclamation,1,115
Undetermined Company,1,115
Western Area Power Administration,1,115
Tri State Generation & Transmission Association Inc,1,115
Western Area Power Administration,1,115
Niobrara Electric Association Inc,1,69
Public Service Co of Colorado,1,230
Tri State Generation & Transmission Association Inc,1,230
Lacreek Electric Association Inc,1,69
Lacreek Electric Association Inc,1,69
Lacreek Electric Association Inc,1,69
Lacreek Electric Association Inc,1,69
Lacreek Electric Association Inc,1,69
Northern States Power Co (Minnesota),1,69
Basin Electric Power Coop,1,345
Western Area Power Administration,1,230
Undetermined Company,1,115
Northern States Power Co (Minnesota),1,115
Undetermined Company,1,-99
Western Area Power Administration,1,230
Western Area Power Administration,1,230
East River Electric Power Coop Inc,1,35
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
Western Area Power Administration,1,115
East River Electric Power Coop Inc,1,69
Northern States Power Co (Minnesota),1,69
Western Area Power Administration,1,230
Western Area Power Administration,1,230
Undetermined Company,1,115
Undetermined Company,1,115
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
Northern States Power Co (Minnesota),1,69
Undetermined Company,1,230
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
Northern States Power Co (Minnesota),1,69
MidAmerican Energy Co,1,161
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
ITC Transmission,1,765
East River Electric Power Coop Inc,1,69
Western Area Power Administration,1,345
NorthWestern Corp,1,69
NorthWestern Corp,1,69
NorthWestern Corp,1,35
NorthWestern Corp,1,35
Undetermined Company,1,4
Western Area Power Administration,1,69
Western Area Power Administration,1,69
Western Area Power Administration,1,69
Western Area Power Administration,1,69
Western Area Power Administration,1,69
Western Area Power Administration,1,69
Western Area Power Administration,1,69
Western Area Power Administration,1,69
Western Area Power Administration,1,69
Western Area Power Administration,1,69
Western Area Power Administration,1,69
Western Area Power Administration,1,69
Western Area Power Administration,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
NorthWestern Corp,1,69
Western Area Power Administration,1,115
Nebraska Public Power District,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,230
Western Area Power Administration,1,230
NorthWestern Corp,1,115
NorthWestern Corp,1,115
Western Area Power Administration,1,115
Undetermined Company,1,-99
Nebraska Public Power District,1,69
Western Area Power Administration,1,230
Undetermined Company,1,-99
Nebraska Public Power District,1,115
Undetermined Company,1,-99
Undetermined Company,1,4
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Nebraska Public Power District,1,69
Western Area Power Administration,1,345
Undetermined Company,1,69
Nebraska Public Power District,1,230
Nebraska Public Power District,1,115
Western Area Power Administration,1,115
ITC Transmission,1,765
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,-99
Undetermined Company,1,69
Undetermined Company,1,-99
Undetermined Company,1,-99
Undetermined Company,1,69
Undetermined Company,1,-99
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,-99
Western Area Power Administration,1,345
Undetermined Company,1,-99
MidAmerican Energy Co,1,345
Nebraska Public Power District,1,345
Undetermined Company,1,69
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,69
Undetermined Company,1,-99
Undetermined Company,1,-99
Nebraska Public Power District,1,69
Nebraska Public Power District,1,69
Nebraska Public Power District,1,69
Nebraska Public Power District,1,69
Nebraska Public Power District,1,69
Nebraska Public Power District,1,69
Nebraska Public Power District,1,69
Nebraska Public Power District,1,69
Nebraska Public Power District,1,35
Nebraska Public Power District,1,35
Nebraska Public Power District,1,35
Nebraska Public Power District,1,35
Nebraska Public Power District,1,35
Nebraska Public Power District,1,345
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,-99
Undetermined Company,1,-99
Undetermined Company,1,69
Undetermined Company,1,-99
Undetermined Company,1,-99
Undetermined Company,1,-99
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,-99
Undetermined Company,1,-99
Undetermined Company,1,-99
Undetermined Company,1,-99
Undetermined Company,1,69
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Western Area Power Administration,1,345
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,35
Undetermined Company,1,69
Undetermined Company,1,69
East River Electric Power Coop Inc,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
NorthWestern Corp,1,35
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
Northern States Power Co (Minnesota),1,69
NorthWestern Corp,1,35
East River Electric Power Coop Inc,1,69
NorthWestern Corp,1,35
NorthWestern Corp,1,69
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,69
NorthWestern Corp,1,69
NorthWestern Corp,1,69
NorthWestern Corp,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
Nebraska Public Power District,1,230
Western Area Power Administration,1,230
Western Area Power Administration,1,230
Nebraska Public Power District,1,115
Western Area Power Administration,1,230
Nebraska Public Power District,1,230
Nebraska Public Power District,1,230
Nebraska Public Power District,1,230
Nebraska Public Power District,1,230
Western Area Power Administration,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
East River Electric Power Coop Inc,1,69
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Omaha Public Power District,1,161
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Omaha Public Power District,1,161
Nebraska Public Power District,1,115
Western Area Power Administration,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Western Area Power Administration,1,115
Western Area Power Administration,1,115
Nebraska Public Power District,1,115
Omaha Public Power District,1,161
MidAmerican Energy Co,1,161
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
Nebraska Public Power District,1,115
MidAmerican Energy Co,1,161
Omaha Public Power District,1,161
NorthWestern Corp,1,69
Undetermined Company,1,35
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
NorthWestern Corp,1,35
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
East River Electric Power Coop Inc,1,69
Northern States Power Co (Minnesota),1,69
Northern States Power Co (Minnesota),1,69
Northern States Power Co (Minnesota),1,69
Northern States Power Co (Minnesota),1,69
Northern States Power Co (Minnesota),1,69
Northern States Power Co (Minnesota),1,69
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,35
NorthWestern Corp,1,35
Northern States Power Co (Minnesota),1,115
Grand River Dam Authority,1,345
Public Service Co of Oklahoma,1,345
Public Service Co of Oklahoma,1,345
KAMO Electric Coop Inc,1,69
Oklahoma Gas & Electric Co,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Public Service Co of Oklahoma,1,69
Public Service Co of Oklahoma,1,345
Undetermined Company,1,69
Undetermined Company,1,69
Public Service Co of Oklahoma,1,345
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
Public Service Co of Oklahoma,1,69
Oklahoma Gas & Electric Co,1,138
Oklahoma Gas & Electric Co,1,115
KAMO Electric Coop Inc,1,69
Public Service Co of Oklahoma,1,345
Undetermined Company,1,69
Undetermined Company,1,115
Undetermined Company,1,138
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,115
Undetermined Company,1,161
Undetermined Company,1,345
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,161
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Grand River Dam Authority,2,230
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Oklahoma Gas & Electric Co,1,138
Public Service Co of Oklahoma,1,115
Public Service Co of Oklahoma,1,115
Public Service Co of Oklahoma,1,115
Public Service Co of Oklahoma,1,115
Public Service Co of Oklahoma,1,115
Oklahoma Gas & Electric Co,1,115
Public Service Co of Oklahoma,2,230
Oklahoma Gas & Electric Co,1,69
KAMO Electric Coop Inc,1,115
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,115
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Undetermined Company,1,138
Oklahoma Gas & Electric Co,1,115
Undetermined Company,1,4
Undetermined Company,1,138
Public Service Co of Oklahoma,1,138
Undetermined Company,1,115
Undetermined Company,1,115
Public Service Co of Oklahoma,2,230
Public Service Co of Oklahoma,1,115
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,115
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,115
Undetermined Company,1,138
Public Service Co of Oklahoma,1,115
Public Service Co of Oklahoma,1,138
Oklahoma Gas & Electric Co,1,138
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,138
Public Service Co of Oklahoma,1,115
Undetermined Company,1,138
Undetermined Company,1,115
Undetermined Company,1,4
Undetermined Company,1,4
Public Service Co of Oklahoma,1,345
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Dayton Power & Light Co (The),1,69
Dayton Power & Light Co (The),1,69
Undetermined Company,1,69
Undetermined Company,1,69
Dayton Power & Light Co (The),1,138
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Dayton Power & Light Co (The),1,138
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,2,138
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Ohio Power Co,1,69
Undetermined Company,2,138
Undetermined Company,1,69
Ohio Power Co,1,115
Dayton Power & Light Co (The),1,69
San Diego Gas & Electric Co,1,161
Southern California Edison Co,2,460
San Diego Gas & Electric Co,1,161
San Diego Gas & Electric Co,1,161
Southern California Edison Co,1,138
Southern California Edison Co,1,138
Southern California Edison Co,1,138
Southern California Edison Co,1,500
Western Area Power Administration,1,500
Southern California Edison Co,1,138
Undetermined Company,1,4
Southern California Edison Co,1,500
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
US Dept of Energy,1,230
UniSource Energy Services Arizona,1,69
Salt River Project,1,69
Undetermined Company,1,4
US Dept of Energy,1,230
Southern California Edison Co,3,690
Undetermined Company,1,4
Los Angeles Dept of Water & Power,1,500
Salt River Project,1,69
Arizona Public Service Co,1,345
Arizona Public Service Co,1,69
Undetermined Company,1,4
Los Angeles Dept of Water & Power,1,500
Southern California Edison Co,1,161
UniSource Energy Services Arizona,1,69
U S Bureau of Indian Affairs,1,69
Arizona Electric Power Coop Inc,1,69
Arizona Electric Power Coop Inc,1,69
Arizona Electric Power Coop Inc,1,69
Arizona Electric Power Coop Inc,1,69
Arizona Electric Power Coop Inc,1,69
U S Bureau of Indian Affairs,1,69
U S Bureau of Indian Affairs,1,69
UniSource Energy Services Arizona,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
U S Bureau of Indian Affairs,1,69
U S Bureau of Indian Affairs,1,69
U S Bureau of Indian Affairs,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
US Dept of Energy,1,69
US Dept of Energy,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
UniSource Energy Services Arizona,1,69
US Dept of Energy,1,69
US Dept of Energy,1,69
US Dept of Energy,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,2,1000
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Salt River Project,1,69
Salt River Project,1,69
Salt River Project,1,69
Salt River Project,1,69
Salt River Project,1,69
Salt River Project,1,69
Salt River Project,1,69
Arizona Public Service Co,1,69
Salt River Project,1,69
Salt River Project,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Navajo Tribal Utility Authority,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Oliver Mercer Electric Coop Inc,1,69
Arizona Public Service Co,1,69
Navopache Electric Coop Inc,1,69
Navopache Electric Coop Inc,1,69
Arizona Public Service Co,1,69
Mohave Electric Coop Inc,1,69
Navajo Tribal Utility Authority,1,500
Mohave Electric Coop Inc,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Arizona Public Service Co,1,500
Arizona Public Service Co,1,69
Salt River Project,1,69
Salt River Project,1,69
Salt River Project,1,69
Arizona Public Service Co,2,1000
Arizona Public Service Co,1,69
Arizona Public Service Co,1,69
Salt River Project,1,69
Salt River Project,1,69
Salt River Project,1,69
Salt River Project,1,69
Southern California Edison Co,1,500
Metropolitan Water District,1,69
Arizona Electric Power Coop Inc,1,69
Southern California Edison Co,1,69
Southern California Edison Co,1,69
Undetermined Company,1,4
